condition,sign,model_cohort,receiver_scope,stage,evaluation_split,n_pairs,n_proteins,auroc,average_precision,macro_protein_auroc,delta_auroc_from_previous_stage
esm2_frozen_bilstm_attn,-1,water_eligible_fixed,sequence_distal_ge21,06_add_crystallographic_water_network,validation,5067,169,0.9608548715125194,0.9621572680351503,0.946954381837786,0.0005633625515338858
esm2_frozen_bilstm_attn,-1,water_eligible_fixed,sequence_distal_ge21,06_add_crystallographic_water_network,test,4807,171,0.9553421762199136,0.9582437385575671,0.941175362697966,-0.0004444296705194972
esm2_frozen_bilstm_attn,-1,water_eligible_fixed,sequence_distal_ge21,07_add_source_mechanism_interactions,validation,5067,169,0.9667525732238891,0.9695408753590053,0.9509058501913805,0.005897701711369718
esm2_frozen_bilstm_attn,-1,water_eligible_fixed,sequence_distal_ge21,07_add_source_mechanism_interactions,test,4807,171,0.9601303129428932,0.9631399936375183,0.9450907831035864,0.004788136722979619
esm2_frozen_bilstm_attn,1,water_eligible_fixed,sequence_distal_ge21,00_distance_q8,validation,7795,196,0.5130335077844705,0.5038371241199764,0.5180808973068829,
esm2_frozen_bilstm_attn,1,water_eligible_fixed,sequence_distal_ge21,00_distance_q8,test,7948,192,0.49549745586975497,0.4951873135872793,0.4992238604311973,
esm2_frozen_bilstm_attn,1,water_eligible_fixed,sequence_distal_ge21,01_add_query_biophysics,validation,7795,196,0.9254684177611008,0.938873454328037,0.9177015136281298,0.41243490997663024
esm2_frozen_bilstm_attn,1,water_eligible_fixed,sequence_distal_ge21,01_add_query_biophysics,test,7948,192,0.9180996929769822,0.9285961842808573,0.9122590455557512,0.4226022371072273
esm2_frozen_bilstm_attn,1,water_eligible_fixed,sequence_distal_ge21,02_add_3d_geometry,validation,7795,196,0.924708666600836,0.9384526699601548,0.9178778055049381,-0.0007597511602648321
esm2_frozen_bilstm_attn,1,water_eligible_fixed,sequence_distal_ge21,02_add_3d_geometry,test,7948,192,0.9184977268189769,0.9286918323977768,0.9121729560195293,0.0003980338419946605
esm2_frozen_bilstm_attn,1,water_eligible_fixed,sequence_distal_ge21,03_add_contact_network,validation,7795,196,0.9246431651361048,0.938483448169634,0.9179544488290213,-6.55014647311658e-05
esm2_frozen_bilstm_attn,1,water_eligible_fixed,sequence_distal_ge21,03_add_contact_network,test,7948,192,0.9188534624416823,0.9289703452175262,0.9106027324787096,0.0003557356227054109
esm2_frozen_bilstm_attn,1,water_eligible_fixed,sequence_distal_ge21,04_add_community_domain,validation,7795,196,0.9285982686547514,0.9411130380026637,0.9208672649366609,0.0039551035186465855
esm2_frozen_bilstm_attn,1,water_eligible_fixed,sequence_distal_ge21,04_add_community_domain,test,7948,192,0.9196484536739835,0.9298111839655041,0.9120695568011887,0.0007949912323012009
esm2_frozen_bilstm_attn,1,water_eligible_fixed,sequence_distal_ge21,05_add_putative_polar_contacts,validation,7795,196,0.9284630525657483,0.9409942824800387,0.9211722952721951,-0.00013521608900302073
esm2_frozen_bilstm_attn,1,water_eligible_fixed,sequence_distal_ge21,05_add_putative_polar_contacts,test,7948,192,0.9195379590741932,0.9297347841334753,0.9119182744694644,-0.00011049459979028953
esm2_frozen_bilstm_attn,1,water_eligible_fixed,sequence_distal_ge21,06_add_crystallographic_water_network,validation,7795,196,0.9281863006484316,0.940638905120059,0.9234665385584324,-0.0002767519173167976
esm2_frozen_bilstm_attn,1,water_eligible_fixed,sequence_distal_ge21,06_add_crystallographic_water_network,test,7948,192,0.9187425879177669,0.9292369497107431,0.9109036786411328,-0.000795371156426361
esm2_frozen_bilstm_attn,1,water_eligible_fixed,sequence_distal_ge21,07_add_source_mechanism_interactions,validation,7795,196,0.9294711826470492,0.9427323698738524,0.9245514821343249,0.0012848819986176485
esm2_frozen_bilstm_attn,1,water_eligible_fixed,sequence_distal_ge21,07_add_source_mechanism_interactions,test,7948,192,0.919297720385595,0.9306780794510163,0.9098627342467562,0.0005551324678281233
esm2_frozen_bilstm_attn,-1,water_eligible_fixed,sequence_distal_ge21_no_direct_ca,00_distance_q8,validation,4836,169,0.5046162614989451,0.4956135387115951,0.5119993295381107,
esm2_frozen_bilstm_attn,-1,water_eligible_fixed,sequence_distal_ge21_no_direct_ca,00_distance_q8,test,4576,171,0.5194374073394776,0.5111059567897076,0.5423676674689463,
esm2_frozen_bilstm_attn,-1,water_eligible_fixed,sequence_distal_ge21_no_direct_ca,01_add_query_biophysics,validation,4836,169,0.9600388287515509,0.9589113084439663,0.9437252223846432,0.45542256725260577
esm2_frozen_bilstm_attn,-1,water_eligible_fixed,sequence_distal_ge21_no_direct_ca,01_add_query_biophysics,test,4576,171,0.9557984471242759,0.9580213817209786,0.9366625313718195,0.43636103978479823
