condition,split,sign,structural_cohort,q8,feature,feature_group,n_proteins,n_selected_segments,n_control_segments,selected_macro_protein_mean,control_macro_protein_mean,selected_minus_control_macro_mean,ci95_low,ci95_high,inference_eligible,wilcoxon_p_two_sided,wilcoxon_q_bh,reference_80_effect,effect_difference_from_reference,effect_direction_preserved
esm2_top4_bilstm_attn,train,-1,reference_80,H,mean_ca_curvature_degrees,experimental_pdb_geometry,698,2940,3299,87.48979477133321,84.87569618130296,2.6140985900302516,2.221364977258293,3.0068322028022103,True,4.4858847262929847e-51,1.0352041676060734e-49,2.6140985900302516,0.0,True
esm2_top4_bilstm_attn,train,-1,reference_80,H,mean_abs_ca_virtual_torsion_degrees,experimental_pdb_geometry,698,2940,3295,53.525975697720185,61.44851038068659,-7.922534682966413,-9.003595502845762,-6.841473863087065,True,3.859081291257522e-54,1.1203784393973451e-52,-7.922534682966413,0.0,True
esm2_top4_bilstm_attn,train,-1,reference_80,H,ca_end_to_end_ratio,experimental_pdb_geometry,675,2870,2856,0.3973952203138647,0.47203209910780075,-0.07463687879393612,-0.08301869814205849,-0.06625505944581374,True,8.06026079002679e-74,4.918125227812956e-72,-0.07463687879393612,0.0,True
esm2_top4_bilstm_attn,train,-1,reference_80,E,mean_contact_degree,contact_network,14,15,239,7.7565927128427115,7.035029793169962,0.7215629196727511,-0.11880772392760541,1.5619335632731075,True,0.0735939238114404,0.09502802213815835,0.7215629196727511,0.0,True
esm2_top4_bilstm_attn,train,-1,reference_80,E,mean_inverse_distance_weighted_degree,contact_network,14,15,239,1.3058158244999019,1.1635556778390175,0.14226014666088427,-0.004671651061484844,0.28919194438325335,True,0.04798974969495946,0.06360938840274451,0.14226014666088427,0.0,True
esm2_top4_bilstm_attn,train,-1,reference_80,E,mean_betweenness,contact_network,14,15,239,0.029348490907150217,0.025788077116097825,0.0035604137910523934,-0.0024030571197142703,0.009523884701819058,True,0.30028987962532416,0.3447205250800915,0.0035604137910523934,0.0,True
esm2_top4_bilstm_attn,train,-1,reference_80,E,mean_closeness,contact_network,14,15,239,0.20323497280815978,0.198602962640909,0.004632010167250804,-0.0018976009316106568,0.011161621266112264,True,0.1401460614684125,0.17096774696248218,0.004632010167250804,0.0,True
esm2_top4_bilstm_attn,train,-1,reference_80,E,mean_ca_curvature_degrees,experimental_pdb_geometry,14,15,239,60.58519824953205,60.207236714699626,0.3779615348324304,-5.645949366654477,6.401872436319339,True,0.3626859408352129,0.4085323488757091,0.3779615348324304,0.0,True
esm2_top4_bilstm_attn,train,-1,reference_80,E,mean_abs_ca_virtual_torsion_degrees,experimental_pdb_geometry,14,15,239,134.56530562428307,136.55001568043014,-1.98471005614711,-25.69532195330894,21.725901841014718,True,0.19812291175396723,0.23531589650751633,-1.98471005614711,0.0,True
esm2_top4_bilstm_attn,train,-1,reference_80,E,ca_end_to_end_ratio,experimental_pdb_geometry,14,15,227,0.7709519380339432,0.832137246328293,-0.061185308294349795,-0.16190213637695103,0.03953151978825143,True,0.43262594902013973,0.4745547640584908,-0.061185308294349795,0.0,True
