condition,sign,stage,evaluation_split,structural_cohort,model_training_cohort,fitted_model_identifier,n_train_segments,n_train_proteins,model_status,n_segments,n_selected_segments,n_control_segments,n_proteins,weighted_auroc,weighted_average_precision,macro_within_protein_q8_concordance,n_matched_protein_q8_strata,delta_auroc_from_previous_stage,delta_concordance_from_previous_stage
esm2_top4_bilstm_attn,-1,03_add_experimental_pdb_geometry,test,fully_resolved_geometry,reference_80,esm2_top4_bilstm_attn__sign-1__train-reference_80__03_add_experimental_pdb_geometry,6620,704,ok,1339,624,715,156,0.8653691616052186,0.8252163033832467,0.8901158100750252,162,0.0043032862904764935,-0.006133697080566658
esm2_top4_bilstm_attn,-1,04_add_contact_network,test,fully_resolved_geometry,reference_80,esm2_top4_bilstm_attn__sign-1__train-reference_80__04_add_contact_network,6620,704,ok,1339,624,715,156,0.8654198839887425,0.8228174469079406,0.8848954193872626,162,5.0722383523882364e-05,-0.005220390687762588
esm2_top4_bilstm_attn,-1,05_add_ecod_domain,test,fully_resolved_geometry,reference_80,esm2_top4_bilstm_attn__sign-1__train-reference_80__05_add_ecod_domain,6620,704,ok,1339,624,715,156,0.8659195865004273,0.8230966084004225,0.885242778932153,162,0.0004997025116848519,0.0003473595448904021
esm2_top4_bilstm_attn,-1,00_q8_only,validation,fully_resolved_geometry,reference_80,esm2_top4_bilstm_attn__sign-1__train-reference_80__00_q8_only,6620,704,ok,1201,618,583,144,0.5,0.4999999999999999,0.5,146,,
esm2_top4_bilstm_attn,-1,01_base_biophysics,validation,fully_resolved_geometry,reference_80,esm2_top4_bilstm_attn__sign-1__train-reference_80__01_base_biophysics,6620,704,ok,1201,618,583,144,0.8429316789394151,0.7981305695867784,0.858791645898704,146,0.3429316789394151,0.35879164589870405
esm2_top4_bilstm_attn,-1,02_add_local_sequence_or_annotation_geometry,validation,fully_resolved_geometry,reference_80,esm2_top4_bilstm_attn__sign-1__train-reference_80__02_add_local_sequence_or_annotation_geometry,6620,704,ok,1201,618,583,144,0.8532049359607021,0.8168343824773803,0.8740926810160716,146,0.010273257021287008,0.015301035117367578
esm2_top4_bilstm_attn,-1,03_add_experimental_pdb_geometry,validation,fully_resolved_geometry,reference_80,esm2_top4_bilstm_attn__sign-1__train-reference_80__03_add_experimental_pdb_geometry,6620,704,ok,1201,618,583,144,0.8567896749809402,0.8189437882797909,0.87210542475356,146,0.003584739020238037,-0.0019872562625116164
esm2_top4_bilstm_attn,-1,04_add_contact_network,validation,fully_resolved_geometry,reference_80,esm2_top4_bilstm_attn__sign-1__train-reference_80__04_add_contact_network,6620,704,ok,1201,618,583,144,0.8573456999854406,0.8177761383047162,0.8780781449087373,146,0.0005560250045004711,0.005972720155177247
esm2_top4_bilstm_attn,-1,05_add_ecod_domain,validation,fully_resolved_geometry,reference_80,esm2_top4_bilstm_attn__sign-1__train-reference_80__05_add_ecod_domain,6620,704,ok,1201,618,583,144,0.859045040278089,0.8179148729696136,0.8775793341293836,146,0.0016993402926483991,-0.0004988107793536534
esm2_top4_bilstm_attn,1,00_q8_only,test,fully_resolved_geometry,reference_80,esm2_top4_bilstm_attn__sign+1__train-reference_80__00_q8_only,30069,909,ok,3667,890,2777,196,0.5,0.5000000000000027,0.5,403,,
esm2_top4_bilstm_attn,1,01_base_biophysics,test,fully_resolved_geometry,reference_80,esm2_top4_bilstm_attn__sign+1__train-reference_80__01_base_biophysics,30069,909,ok,3667,890,2777,196,0.774949925951036,0.7619792129061798,0.790151301396484,403,0.27494992595103596,0.29015130139648404
esm2_top4_bilstm_attn,1,02_add_local_sequence_or_annotation_geometry,test,fully_resolved_geometry,reference_80,esm2_top4_bilstm_attn__sign+1__train-reference_80__02_add_local_sequence_or_annotation_geometry,30069,909,ok,3667,890,2777,196,0.8100720222549083,0.8033126684284052,0.8151519508531203,403,0.03512209630387231,0.02500064945663627
esm2_top4_bilstm_attn,1,03_add_experimental_pdb_geometry,test,fully_resolved_geometry,reference_80,esm2_top4_bilstm_attn__sign+1__train-reference_80__03_add_experimental_pdb_geometry,30069,909,ok,3667,890,2777,196,0.8139171802406939,0.8052205257782399,0.825740805371121,403,0.0038451579857856633,0.010588854518000734
esm2_top4_bilstm_attn,1,04_add_contact_network,test,fully_resolved_geometry,reference_80,esm2_top4_bilstm_attn__sign+1__train-reference_80__04_add_contact_network,30069,909,ok,3667,890,2777,196,0.8241871931423005,0.8134119923696443,0.8367890588648769,403,0.010270012901606562,0.011048253493755822
esm2_top4_bilstm_attn,1,05_add_ecod_domain,test,fully_resolved_geometry,reference_80,esm2_top4_bilstm_attn__sign+1__train-reference_80__05_add_ecod_domain,30069,909,ok,3667,890,2777,196,0.8333016001389175,0.8244053017158164,0.8429359768093474,403,0.00911440699661703,0.006146917944470531
esm2_top4_bilstm_attn,1,00_q8_only,validation,fully_resolved_geometry,reference_80,esm2_top4_bilstm_attn__sign+1__train-reference_80__00_q8_only,30069,909,ok,3654,847,2807,194,0.5,0.4999999999999996,0.5,393,,
esm2_top4_bilstm_attn,1,01_base_biophysics,validation,fully_resolved_geometry,reference_80,esm2_top4_bilstm_attn__sign+1__train-reference_80__01_base_biophysics,30069,909,ok,3654,847,2807,194,0.7872984973232493,0.7711861529985048,0.798376450756729,393,0.2872984973232493,0.29837645075672903
esm2_top4_bilstm_attn,1,02_add_local_sequence_or_annotation_geometry,validation,fully_resolved_geometry,reference_80,esm2_top4_bilstm_attn__sign+1__train-reference_80__02_add_local_sequence_or_annotation_geometry,30069,909,ok,3654,847,2807,194,0.8176475634358513,0.8065520787711626,0.8257924706491263,393,0.03034906611260202,0.02741601989239728
esm2_top4_bilstm_attn,1,03_add_experimental_pdb_geometry,validation,fully_resolved_geometry,reference_80,esm2_top4_bilstm_attn__sign+1__train-reference_80__03_add_experimental_pdb_geometry,30069,909,ok,3654,847,2807,194,0.8226979863908443,0.8095620307534515,0.8250943172705971,393,0.005050422954993028,-0.0006981533785291871
esm2_top4_bilstm_attn,1,04_add_contact_network,validation,fully_resolved_geometry,reference_80,esm2_top4_bilstm_attn__sign+1__train-reference_80__04_add_contact_network,30069,909,ok,3654,847,2807,194,0.8253687408141976,0.8116826000357678,0.8197539493398965,393,0.0026707544233532943,-0.005340367930700585
esm2_top4_bilstm_attn,1,05_add_ecod_domain,validation,fully_resolved_geometry,reference_80,esm2_top4_bilstm_attn__sign+1__train-reference_80__05_add_ecod_domain,30069,909,ok,3654,847,2807,194,0.8318983239646378,0.8172954854116092,0.82539169569672,393,0.006529583150440166,0.005637746356823459
esm3_frozen_bilstm_attn,-1,00_q8_only,test,fully_resolved_geometry,reference_80,esm3_frozen_bilstm_attn__sign-1__train-reference_80__00_q8_only,7371,701,ok,1377,670,707,159,0.5,0.4999999999999992,0.5,162,,
esm3_frozen_bilstm_attn,-1,01_base_biophysics,test,fully_resolved_geometry,reference_80,esm3_frozen_bilstm_attn__sign-1__train-reference_80__01_base_biophysics,7371,701,ok,1377,670,707,159,0.8493457943946696,0.8169137812298535,0.8716806989685076,162,0.3493457943946696,0.37168069896850764
esm3_frozen_bilstm_attn,-1,02_add_local_sequence_or_annotation_geometry,test,fully_resolved_geometry,reference_80,esm3_frozen_bilstm_attn__sign-1__train-reference_80__02_add_local_sequence_or_annotation_geometry,7371,701,ok,1377,670,707,159,0.8598911231044009,0.8282516823618553,0.8800882274493386,162,0.010545328709731239,0.008407528480830928
esm3_frozen_bilstm_attn,-1,03_add_experimental_pdb_geometry,test,fully_resolved_geometry,reference_80,esm3_frozen_bilstm_attn__sign-1__train-reference_80__03_add_experimental_pdb_geometry,7371,701,ok,1377,670,707,159,0.8684699888890409,0.8395928581184948,0.8895401192121871,162,0.008578865784640066,0.009451891762848552
esm3_frozen_bilstm_attn,-1,04_add_contact_network,test,fully_resolved_geometry,reference_80,esm3_frozen_bilstm_attn__sign-1__train-reference_80__04_add_contact_network,7371,701,ok,1377,670,707,159,0.872030704814964,0.8399245620245015,0.8905014079281055,162,0.003560715925923108,0.0009612887159183847
esm3_frozen_bilstm_attn,-1,05_add_ecod_domain,test,fully_resolved_geometry,reference_80,esm3_frozen_bilstm_attn__sign-1__train-reference_80__05_add_ecod_domain,7371,701,ok,1377,670,707,159,0.8732403955549076,0.8396435505213015,0.8898617477436922,162,0.0012096907399435919,-0.0006396601844133043
esm3_frozen_bilstm_attn,-1,00_q8_only,validation,fully_resolved_geometry,reference_80,esm3_frozen_bilstm_attn__sign-1__train-reference_80__00_q8_only,7371,701,ok,1317,659,658,155,0.5,0.5000000000000004,0.5,164,,
esm3_frozen_bilstm_attn,-1,01_base_biophysics,validation,fully_resolved_geometry,reference_80,esm3_frozen_bilstm_attn__sign-1__train-reference_80__01_base_biophysics,7371,701,ok,1317,659,658,155,0.8089372897697091,0.753126797342403,0.8390270185258124,164,0.30893728976970913,0.3390270185258124
esm3_frozen_bilstm_attn,-1,02_add_local_sequence_or_annotation_geometry,validation,fully_resolved_geometry,reference_80,esm3_frozen_bilstm_attn__sign-1__train-reference_80__02_add_local_sequence_or_annotation_geometry,7371,701,ok,1317,659,658,155,0.82674201280738,0.7818895152362464,0.8543115009487966,164,0.01780472303767089,0.015284482422984191
esm3_frozen_bilstm_attn,-1,03_add_experimental_pdb_geometry,validation,fully_resolved_geometry,reference_80,esm3_frozen_bilstm_attn__sign-1__train-reference_80__03_add_experimental_pdb_geometry,7371,701,ok,1317,659,658,155,0.8322381799801098,0.7905988121656924,0.8583869365171297,164,0.005496167172729827,0.004075435568333119
