condition,split,sign,label,seed_a,seed_b,observed_n_proteins,observed_n_informative_proteins,observed_total_bands_seed_a,observed_total_bands_seed_b,observed_total_matched_bands,observed_micro_f1,observed_micro_jaccard,observed_macro_f1_informative_proteins,observed_mean_matched_apex_distance,null_mean_micro_jaccard,null_std_micro_jaccard,micro_jaccard_empirical_p_upper,micro_jaccard_null_z,null_mean_macro_f1,null_std_macro_f1,macro_f1_empirical_p_upper,macro_f1_null_z,micro_jaccard_empirical_q_bh,macro_f1_empirical_q_bh
esm3_frozen_bilstm_attn,test,1,flexibility_supporting,2,3,208,207,1248,1311,983,0.7682688550214928,0.623730964467005,0.7594669073136388,1.0457782299084435,0.2265861620652287,0.009796404497731108,0.000999000999000999,40.53985342211593,0.3385367762404029,0.015695404889566517,0.000999000999000999,26.81868572584885,0.000999000999000999,0.000999000999000999
esm3_frozen_bilstm_attn,test,-1,rigidity_supporting,1,2,208,208,1214,1197,976,0.8096225632517627,0.6801393728222996,0.7986378082168597,1.1844262295081966,0.27515626695214923,0.01055411062619467,0.000999000999000999,38.37207323419622,0.4080589706526224,0.01611054684355932,0.000999000999000999,24.24367349891559,0.000999000999000999,0.000999000999000999
esm3_frozen_bilstm_attn,test,-1,rigidity_supporting,1,3,208,208,1214,1220,990,0.8134757600657354,0.685595567867036,0.8059575612583951,1.2424242424242424,0.2799173128900776,0.010408869268373635,0.000999000999000999,38.97428668929231,0.4158453311970879,0.015809454240615795,0.000999000999000999,24.67588217302762,0.000999000999000999,0.000999000999000999
esm3_frozen_bilstm_attn,test,-1,rigidity_supporting,2,3,208,208,1197,1220,976,0.8076127430699214,0.6773074253990284,0.7759147297269975,1.326844262295082,0.27343650618601034,0.010516107071145298,0.000999000999000999,38.404983562898714,0.40689915413480937,0.015390405553937992,0.000999000999000999,23.976988410014116,0.000999000999000999,0.000999000999000999
esm3_top4_bilstm_attn,train,1,flexibility_supporting,1,2,967,965,5942,5574,4748,0.8245918721778396,0.7015366430260047,0.805102509981718,0.8399326032013479,0.20738856830836516,0.0044209837599251565,0.000999000999000999,111.77332954645485,0.3099617156341353,0.0074204808150873,0.000999000999000999,66.72624142371797,0.000999000999000999,0.000999000999000999
esm3_top4_bilstm_attn,train,1,flexibility_supporting,1,3,967,966,5942,5861,4876,0.8262306193340676,0.703912227515519,0.8164843399344315,0.8632075471698113,0.2090851709778348,0.004413666927011002,0.000999000999000999,112.1124599387902,0.3163620928003458,0.007473121787716587,0.000999000999000999,66.92280165380498,0.000999000999000999,0.000999000999000999
esm3_top4_bilstm_attn,train,1,flexibility_supporting,2,3,967,965,5574,5861,4676,0.8178399650196765,0.691818316318982,0.8031249149027083,0.8462360992301112,0.2072073764780979,0.0044264805977169905,0.000999000999000999,109.47996475819367,0.3106210717089186,0.0073198125531009645,0.000999000999000999,67.28366875804018,0.000999000999000999,0.000999000999000999
esm3_top4_bilstm_attn,train,-1,rigidity_supporting,1,2,967,952,5519,5333,4589,0.8457427202359012,0.7327159508222897,0.8094968222733738,0.993244715624319,0.2795460354120599,0.005186094290569709,0.000999000999000999,87.38173469662226,0.39453626717340057,0.007995827259723712,0.000999000999000999,51.89713854752683,0.000999000999000999,0.000999000999000999
esm3_top4_bilstm_attn,train,-1,rigidity_supporting,1,3,967,956,5519,5508,4665,0.846105014963272,0.7332599811380069,0.8196324298907579,1.002572347266881,0.2853699123013499,0.004999652456818695,0.000999000999000999,89.58424064572917,0.40391226358326493,0.007801657640907695,0.000999000999000999,53.2861329530381,0.000999000999000999,0.000999000999000999
esm3_top4_bilstm_attn,train,-1,rigidity_supporting,2,3,967,952,5333,5508,4583,0.8454939581219445,0.7323426014701182,0.8086995613744429,1.0124372681649574,0.2776915475602238,0.005013404649383409,0.000999000999000999,90.68708506619573,0.39391038701984943,0.007770329676449171,0.000999000999000999,53.38115519239343,0.000999000999000999,0.000999000999000999
