condition,split,sign,q8,n_selected_segments,n_proteins,structure_available_fraction,structure_eligible_fraction,fully_resolved_fraction,strain_available_fraction
esm2_top28_bilstm_attn,train,-1,T,10,10,1.0,1.0,1.0,0.0
esm2_top28_bilstm_attn,validation,-1,C,10,10,1.0,1.0,1.0,0.0
esm2_top28_bilstm_attn,validation,-1,E,273,120,1.0,1.0,0.9963369963369964,0.0
esm2_top28_bilstm_attn,validation,-1,G,4,4,1.0,1.0,1.0,0.0
esm2_top28_bilstm_attn,validation,-1,H,802,187,1.0,0.9987531172069826,0.9900249376558603,0.0
esm2_top28_bilstm_attn,validation,-1,T,1,1,1.0,1.0,1.0,0.0
esm2_top4_bilstm_attn,test,-1,C,11,11,1.0,1.0,1.0,1.0
esm2_top4_bilstm_attn,test,-1,E,265,121,1.0,1.0,1.0,1.0
esm2_top4_bilstm_attn,test,-1,G,9,9,1.0,1.0,1.0,1.0
esm2_top4_bilstm_attn,test,-1,H,832,186,1.0,1.0,0.9831730769230769,1.0
esm2_top4_bilstm_attn,test,-1,T,2,2,1.0,1.0,1.0,1.0
esm2_top4_bilstm_attn,train,-1,C,47,45,0.9787234042553191,0.9787234042553191,0.9787234042553191,0.0
esm2_top4_bilstm_attn,train,-1,E,1311,498,0.9984744469870328,0.996186117467582,0.9931350114416476,0.0
esm2_top4_bilstm_attn,train,-1,G,38,36,1.0,0.9736842105263158,0.9736842105263158,0.0
esm2_top4_bilstm_attn,train,-1,H,3838,864,0.9947889525794684,0.9940072954663888,0.9841063053673789,0.0
esm2_top4_bilstm_attn,train,-1,S,1,1,1.0,1.0,1.0,0.0
esm2_top4_bilstm_attn,train,-1,T,9,8,1.0,0.8888888888888888,0.8888888888888888,0.0
esm2_top4_bilstm_attn,validation,-1,C,13,11,1.0,1.0,1.0,0.0
esm2_top4_bilstm_attn,validation,-1,E,296,124,1.0,1.0,0.9966216216216216,0.0
esm2_top4_bilstm_attn,validation,-1,G,3,3,1.0,1.0,1.0,0.0
esm2_top4_bilstm_attn,validation,-1,H,811,181,1.0,1.0,0.9926017262638718,0.0
esm2_top4_bilstm_attn,validation,-1,T,1,1,1.0,1.0,1.0,0.0
esm3_frozen_bilstm_attn,test,-1,C,15,10,1.0,1.0,1.0,1.0
esm3_frozen_bilstm_attn,test,-1,E,280,126,1.0,1.0,0.9964285714285714,1.0
esm3_frozen_bilstm_attn,test,-1,G,16,15,1.0,1.0,1.0,1.0
esm3_frozen_bilstm_attn,test,-1,H,855,191,1.0,1.0,0.9836257309941521,1.0
esm3_frozen_bilstm_attn,test,-1,T,4,3,1.0,1.0,1.0,1.0
esm3_frozen_bilstm_attn,train,-1,C,62,53,0.9838709677419355,0.9838709677419355,0.9838709677419355,0.0
esm3_frozen_bilstm_attn,train,-1,E,1395,524,0.9971326164874552,0.9949820788530466,0.9913978494623656,0.0
esm3_frozen_bilstm_attn,train,-1,G,69,66,1.0,1.0,1.0,0.0
esm3_frozen_bilstm_attn,train,-1,H,3883,860,0.9943342776203966,0.9933041462786505,0.9842904970383723,0.0
esm3_frozen_bilstm_attn,train,-1,S,4,3,1.0,1.0,1.0,0.0
esm3_frozen_bilstm_attn,train,-1,T,15,15,1.0,1.0,1.0,0.0
esm3_frozen_bilstm_attn,validation,-1,C,15,11,1.0,1.0,1.0,0.0
