condition,sign,stage,evaluation_split,model_status,n_train_segments,n_segments,n_selected_segments,n_proteins,weighted_auroc,weighted_average_precision,macro_within_protein_q8_concordance,n_matched_protein_q8_strata,delta_auroc_from_previous_stage,delta_concordance_from_previous_stage
esm2_top4_bilstm_attn,-1,02_add_experimental_geometry,validation,ok,8092,1703,928,184,0.8195673038429594,0.7940726190072,0.8135441555645044,258,0.011555276275150739,0.009246686058701603
esm2_top4_bilstm_attn,-1,02_add_experimental_geometry,test,ok,8092,1763,932,175,0.8056187024751255,0.783400603077667,0.8372236226570884,265,0.001934034628302217,0.0032555727034376813
esm2_top4_bilstm_attn,-1,03_add_contact_network,validation,ok,8092,1703,928,184,0.819329037210617,0.7917964387421674,0.8210833142955236,258,-0.00023826663234238765,0.00753915873101918
esm2_top4_bilstm_attn,-1,03_add_contact_network,test,ok,8092,1763,932,175,0.8061789604947255,0.78392516198626,0.8293645104206177,265,0.000560258019600024,-0.007859112236470733
esm2_top4_bilstm_attn,-1,04_add_inter_domain,validation,ok,8092,1703,928,184,0.8309584109336228,0.80898870013313,0.8241821360522912,258,0.011629373723005765,0.003098821756767567
esm2_top4_bilstm_attn,-1,04_add_inter_domain,test,ok,8092,1763,932,175,0.8226489286707575,0.792223755943023,0.8386047132554083,265,0.01646996817603197,0.009240202834790656
esm2_top4_bilstm_attn,1,00_q8_only,validation,ok,15479,3430,1094,203,0.5031100234526363,0.49914115451696367,0.5,461,,
esm2_top4_bilstm_attn,1,00_q8_only,test,ok,15479,3491,1104,200,0.5016082932791723,0.5006456783638011,0.5,463,,
esm2_top4_bilstm_attn,1,01_base_biophysics,validation,ok,15479,3430,1094,203,0.7605872170406791,0.7412261257811871,0.7669792697791296,461,0.2574771935880428,0.26697926977912956
esm2_top4_bilstm_attn,1,01_base_biophysics,test,ok,15479,3491,1104,200,0.7623102656129788,0.7298744096901433,0.7730103564610559,463,0.26070197233380643,0.27301035646105587
esm2_top4_bilstm_attn,1,02_add_experimental_geometry,validation,ok,15479,3430,1094,203,0.81258004724832,0.8051631630889982,0.8166560598986449,461,0.051992830207640894,0.04967679011951531
