condition,sign,evaluation_split,structural_cohort,model_training_cohort,increment,smaller_stage,expanded_stage,observed_delta_auroc,bootstrap_median_delta_auroc,ci95_low,ci95_high,valid_replicates,total_replicates,valid_replicate_fraction,fraction_delta_le_zero,n_proteins,n_selected_segments,n_control_segments
esm2_frozen_bilstm_attn,1,test,reference_80,reference_80,delta_local_annotation,01_base_biophysics,02_add_local_sequence_or_annotation_geometry,0.02092540628127204,0.020804013680025712,0.011862741616430875,0.029569649658534022,2000,2000,1.0,0.0,195,946,5686
esm2_frozen_bilstm_attn,1,test,reference_80,reference_80,delta_experimental_pdb_geometry,02_add_local_sequence_or_annotation_geometry,03_add_experimental_pdb_geometry,0.0032810127092165464,0.003272056936264034,-0.002341147650276293,0.008985859075873548,2000,2000,1.0,0.129,195,946,5686
esm2_frozen_bilstm_attn,1,test,reference_80,reference_80,delta_contact_network,03_add_experimental_pdb_geometry,04_add_contact_network,0.005141013542636519,0.00518111026154644,0.0015721737565983385,0.008493486163547543,2000,2000,1.0,0.002,195,946,5686
esm2_frozen_bilstm_attn,1,test,reference_80,reference_80,delta_ecod_domain,04_add_contact_network,05_add_ecod_domain,0.0008367910606292828,0.0008365838338268428,-0.0003728754469373097,0.0021495657442370574,2000,2000,1.0,0.0975,195,946,5686
esm2_frozen_bilstm_attn,1,test,reference_80,reference_80,delta_total_external_structure,01_base_biophysics,05_add_ecod_domain,0.03018422359375439,0.030255220125570803,0.019845273153298006,0.040278378319181844,2000,2000,1.0,0.0,195,946,5686
esm2_top28_bilstm_attn,1,test,reference_80,reference_80,delta_local_annotation,01_base_biophysics,02_add_local_sequence_or_annotation_geometry,0.02603773588782965,0.026029873943167414,0.016889081754729994,0.03592068951903145,2000,2000,1.0,0.0,202,1095,5455
esm2_top28_bilstm_attn,1,test,reference_80,reference_80,delta_experimental_pdb_geometry,02_add_local_sequence_or_annotation_geometry,03_add_experimental_pdb_geometry,0.006760930895835959,0.006694111797531599,0.0025015224143650457,0.011404234658839016,2000,2000,1.0,0.0,202,1095,5455
esm2_top28_bilstm_attn,1,test,reference_80,reference_80,delta_contact_network,03_add_experimental_pdb_geometry,04_add_contact_network,0.0072872508672028324,0.0072251401744164445,0.003538521512073767,0.01115061748217855,2000,2000,1.0,0.0005,202,1095,5455
esm2_top28_bilstm_attn,1,test,reference_80,reference_80,delta_ecod_domain,04_add_contact_network,05_add_ecod_domain,0.006315056704027433,0.006372771769287133,0.00397037905300916,0.00883640720999704,2000,2000,1.0,0.0,202,1095,5455
esm2_top28_bilstm_attn,1,test,reference_80,reference_80,delta_total_external_structure,01_base_biophysics,05_add_ecod_domain,0.046400974354895874,0.04643679494749364,0.036115063222893234,0.05751637936086517,2000,2000,1.0,0.0,202,1095,5455
