match_scheme,condition,split,sign,label,q3,metric,metric_kind,metric_description,n_proteins,n_matched_apices,case_macro_protein_mean,matched_control_macro_protein_mean,case_minus_control_macro_mean,case_minus_control_ci95_low,case_minus_control_ci95_high,sign_flip_z,p_upper,p_lower,p_two_sided,p_upper_q_bh,p_lower_q_bh,p_two_sided_q_bh
q3_neq_rsa_position,esm2_top4_bilstm_attn,validation,1,flexibility_supporting,C,disorder_ge05,binary,disorder score >= 0.5,174,558,0.022701149425287354,0.09234651523444626,-0.06964536580915891,-0.10215392378215654,-0.0393322215380405,-3.951125242093002,1.0,9.999000099990002e-05,9.999000099990002e-05,1.0,0.0006190035202087268,0.0003674188794138338
q3_neq_rsa_position,esm2_top4_bilstm_attn,validation,1,flexibility_supporting,C,normalized_position,continuous,normalized sequence position,174,558,0.49947384152451424,0.4870763083998925,0.012397533124621676,-0.0015001332668452532,0.027561426170728258,1.6706928334990123,0.04689531046895311,0.9532046795320468,0.09149085091490851,0.23773051266301942,1.0,0.19133931692076006
q3_only,esm2_top4_bilstm_attn,validation,-1,rigidity_supporting,E,q8_is_G,binary,Q8 G,119,289,0.0,0.0,0.0,0.0,0.0,,1.0,1.0,1.0,1.0,1.0,1.0
q3_only,esm2_top4_bilstm_attn,validation,-1,rigidity_supporting,E,q8_is_H,binary,Q8 H,119,289,0.0,0.0,0.0,0.0,0.0,,1.0,1.0,1.0,1.0,1.0,1.0
q3_only,esm2_top4_bilstm_attn,validation,-1,rigidity_supporting,E,q8_is_I,binary,Q8 I,119,289,0.0,0.0,0.0,0.0,0.0,,1.0,1.0,1.0,1.0,1.0,1.0
q3_only,esm2_top4_bilstm_attn,validation,-1,rigidity_supporting,E,q8_is_B,binary,Q8 B,119,289,0.0,0.0017986440524060223,-0.0017986440524060223,-0.0037376112354737525,-0.00019542700801250732,-1.9373614167225306,1.0,0.031796820317968204,0.031796820317968204,1.0,0.11998982403316827,0.07561828786006032
q3_only,esm2_top4_bilstm_attn,validation,-1,rigidity_supporting,E,q8_is_E,binary,Q8 E,119,289,1.0,0.9796002287621328,0.020399771237867216,0.012943032610405358,0.03168660987277132,3.956619117107721,9.999000099990002e-05,1.0,9.999000099990002e-05,0.0008505998715196974,1.0,0.0003674188794138338
q3_only,esm2_top4_bilstm_attn,validation,-1,rigidity_supporting,E,q8_is_S,binary,Q8 S,119,289,0.0,0.0,0.0,0.0,0.0,,1.0,1.0,1.0,1.0,1.0,1.0
q3_only,esm2_top4_bilstm_attn,validation,-1,rigidity_supporting,E,q8_is_T,binary,Q8 T,119,289,0.0,0.0,0.0,0.0,0.0,,1.0,1.0,1.0,1.0,1.0,1.0
q3_only,esm2_top4_bilstm_attn,validation,-1,rigidity_supporting,E,q8_is_C,binary,Q8 C,119,289,0.0,0.018601127185461194,-0.018601127185461194,-0.02852445755694446,-0.011271596077791664,-3.688210722646444,1.0,9.999000099990002e-05,9.999000099990002e-05,1.0,0.0006190035202087268,0.0003674188794138338
