match_scheme,condition,split,sign,label,q3,covariate,matched_on_covariate,n_matched_cases,case_mean,matched_control_mean,paired_mean_difference,paired_mean_absolute_difference,standardized_mean_difference,mean_absolute_difference_over_caliper,caliper
q3_only,esm3_frozen_bilstm_attn,train,-1,rigidity_supporting,C,rsa,False,128,0.2941868269772385,0.4191932828118732,-0.12500645583463466,0.18550870243395196,-0.854366099084776,1.2367246828930132,0.15
q3_only,esm3_frozen_bilstm_attn,train,-1,rigidity_supporting,C,normalized_position,False,128,0.4783751648417967,0.5179881257651293,-0.03961296092333255,0.27635497829867806,-0.18267240592972248,1.1054199131947122,0.25
q3_neq,esm3_frozen_bilstm_attn,train,-1,rigidity_supporting,C,neq,True,126,1.0687857142857142,1.071091975308642,-0.0023062610229276958,0.012098853615520289,-0.009464436251272974,0.048395414462081156,0.25
q3_neq,esm3_frozen_bilstm_attn,train,-1,rigidity_supporting,C,rsa,False,126,0.2946222536339765,0.45811677945078044,-0.16349452581680407,0.20632291798622762,-1.0367408292043971,1.3754861199081843,0.15
q3_neq,esm3_frozen_bilstm_attn,train,-1,rigidity_supporting,C,normalized_position,False,126,0.47794342986968064,0.34445960190049757,0.13348382796918307,0.3430266710874543,0.5161082330815682,1.3721066843498173,0.25
q3_neq_rsa,esm3_frozen_bilstm_attn,train,-1,rigidity_supporting,C,neq,True,118,1.0448446327683616,1.0553918549905836,-0.010547222222222222,0.02817434086629,-0.0715089252324021,0.11269736346516,0.25
q3_neq_rsa,esm3_frozen_bilstm_attn,train,-1,rigidity_supporting,C,rsa,True,118,0.29819218845154016,0.31201600879167685,-0.0138238203401367,0.026727312199224192,-0.07262844888554082,0.1781820813281613,0.15
q3_neq_rsa,esm3_frozen_bilstm_attn,train,-1,rigidity_supporting,C,normalized_position,False,118,0.4740850810897406,0.5154356657101922,-0.041350584620451526,0.2965467534145675,-0.16516278398480036,1.18618701365827,0.25
q3_neq_rsa_position,esm3_frozen_bilstm_attn,train,-1,rigidity_supporting,C,neq,True,87,1.0264597701149423,1.0421213282247765,-0.015661558109833964,0.03291749680715195,-0.14994193671168957,0.1316699872286078,0.25
q3_neq_rsa_position,esm3_frozen_bilstm_attn,train,-1,rigidity_supporting,C,rsa,True,87,0.29137507859274914,0.306654619838029,-0.015279541245279882,0.04869755986449933,-0.08146887528238636,0.3246503990966622,0.15
q3_neq_rsa_position,esm3_frozen_bilstm_attn,train,-1,rigidity_supporting,C,normalized_position,True,87,0.4835220760028359,0.4811753953561377,0.0023466806466983328,0.09972961589567912,0.007977421225521924,0.3989184635827165,0.25
q3_neq_rsa_position,esm3_frozen_bilstm_attn,train,1,flexibility_supporting,H,neq,True,82,1.2055528455284552,1.1686475609756095,0.03690528455284552,0.07113048780487806,0.09543267812861896,0.28452195121951224,0.25
q3_neq_rsa_position,esm3_frozen_bilstm_attn,train,1,flexibility_supporting,H,rsa,True,82,0.3647339911222821,0.3638709295612979,0.0008630615609841812,0.04438537770571808,0.0040874357508725164,0.2959025180381205,0.15
q3_neq_rsa_position,esm3_frozen_bilstm_attn,train,1,flexibility_supporting,H,normalized_position,True,82,0.5283931864864362,0.5363483181003605,-0.007955131613924443,0.09894683118071919,-0.03054774036452745,0.39578732472287675,0.25
q3_neq,esm3_frozen_bilstm_attn,train,1,flexibility_supporting,E,neq,True,76,1.344517543859649,1.3168879385964911,0.027629605263157896,0.0702529970760234,0.06980951248828852,0.2810119883040936,0.25
