condition,split,sign,label,metric,metric_kind,directional_hypothesis,n_proteins,observed_macro_protein_mean,null_mean,delta,ratio_observed_to_null,null_std,null_z,p_upper,p_lower,p_two_sided,p_upper_q_bh,p_lower_q_bh,p_two_sided_q_bh
esm2_frozen_bilstm_attn,train,1,flexibility_supporting,neq_top10_within_protein,binary,flexibility-supporting higher,963,0.35088483576662394,0.10461016570599455,0.2462746700606294,3.35421355466333,0.00488671202267285,50.39680441941129,0.000999000999000999,1.0,0.000999000999000999,0.0022419139302256186,1.0,0.0010981385027186554
esm2_frozen_bilstm_attn,train,1,flexibility_supporting,neq_peak,binary,flexibility-supporting higher,963,0.20606319987990143,0.07207663787439354,0.1339865620055079,2.858945782668213,0.0041530847394522395,32.26193791152446,0.000999000999000999,1.0,0.000999000999000999,0.0022419139302256186,1.0,0.0010981385027186554
esm2_frozen_bilstm_attn,train,1,flexibility_supporting,distance_to_neq_peak,distance,flexibility-supporting lower,963,2.1274019168753875,5.139072908452916,-3.0116709915775286,0.41396608975447047,0.07284087442694545,-41.34589288323322,1.0,0.000999000999000999,0.000999000999000999,1.0,0.002147106624718565,0.0010981385027186554
esm2_frozen_bilstm_attn,train,1,flexibility_supporting,distance_to_neq_top10,distance,flexibility-supporting lower,963,5.476452742421627,8.326483698861129,-2.850030956439501,0.6577149419232851,0.11464389100192997,-24.85985892079956,1.0,0.000999000999000999,0.000999000999000999,1.0,0.002147106624718565,0.0010981385027186554
esm2_frozen_bilstm_attn,train,1,flexibility_supporting,q3_is_H,binary,two-sided,963,0.042569878606023896,0.38895301297361456,-0.34638313436759066,0.10944735530024474,0.006957982893985712,-49.78211927870571,1.0,0.000999000999000999,0.000999000999000999,1.0,0.002147106624718565,0.0010981385027186554
esm2_frozen_bilstm_attn,train,1,flexibility_supporting,q3_is_E,binary,two-sided,963,0.020161062023926632,0.17380030809585562,-0.15363924607192897,0.11600130198162396,0.005023081736180719,-30.5866506143593,1.0,0.000999000999000999,0.000999000999000999,1.0,0.002147106624718565,0.0010981385027186554
esm2_frozen_bilstm_attn,train,1,flexibility_supporting,q3_is_C,binary,two-sided,963,0.9372690593700495,0.4372466789305294,0.5000223804395201,2.1435704478362996,0.007688729283679704,65.0331624369817,0.000999000999000999,1.0,0.000999000999000999,0.0022419139302256186,1.0,0.0010981385027186554
esm2_frozen_bilstm_attn,train,1,flexibility_supporting,q8_is_T,binary,upper,963,0.21737272117963222,0.08444085434437562,0.1329318668352566,2.5742600885244458,0.004014119171348033,33.11607382862404,0.000999000999000999,1.0,0.000999000999000999,0.0022419139302256186,1.0,0.0010981385027186554
esm2_frozen_bilstm_attn,train,1,flexibility_supporting,q8_is_S,binary,upper,963,0.1135859204785707,0.02778656075862893,0.08579935971994178,4.087800626542001,0.0022604321104386653,37.957061096292485,0.000999000999000999,1.0,0.000999000999000999,0.0022419139302256186,1.0,0.0010981385027186554
esm2_frozen_bilstm_attn,train,1,flexibility_supporting,q8_turn_or_bend_TS,binary,upper,963,0.3309586416582029,0.11222741510300459,0.21873122655519828,2.9489999511656073,0.004659508237352635,46.9429852707962,0.000999000999000999,1.0,0.000999000999000999,0.0022419139302256186,1.0,0.0010981385027186554
