condition,split,sign,label,target,unit_type,detection_method,n_proteins_total,n_proteins_with_target,n_proteins_with_prediction,total_target_units,total_detected_target_units,micro_coverage,macro_coverage,macro_coverage_ci95_low,macro_coverage_ci95_high,macro_precision,macro_precision_ci95_low,macro_precision_ci95_high,macro_recall,macro_recall_ci95_low,macro_recall_ci95_high,macro_specificity,macro_specificity_ci95_low,macro_specificity_ci95_high,macro_f1,macro_f1_ci95_low,macro_f1_ci95_high,macro_balanced_accuracy,macro_balanced_accuracy_ci95_low,macro_balanced_accuracy_ci95_high,macro_mcc,macro_mcc_ci95_low,macro_mcc_ci95_high,macro_target_prevalence,macro_target_prevalence_ci95_low,macro_target_prevalence_ci95_high,micro_tp,micro_fp,micro_fn,micro_tn,micro_precision,micro_recall,micro_specificity,micro_f1,micro_balanced_accuracy,micro_mcc
esm2_top4_bilstm_attn,test,-1,rigidity_supporting,neq_peak,residue,apex_within5,208,208,205,3498,316,0.0903373356203545,0.07809443711858403,0.06705165328337641,0.09039155214321336,0.022557609991095254,0.019263442415112415,0.02592710436000612,0.07809443711858403,0.06688402534919534,0.09013512054211413,0.7302077339395759,0.7191519978735426,0.7408424611755736,0.034020600703989615,0.029118112307307816,0.03916276829734467,0.40415108552908,0.39811402145451064,0.41046250961168035,-0.11383810227908799,-0.12054046742535218,-0.10723508587620219,0.07254445246022237,0.07035725877574786,0.07462880609154605,316.0,12234.0,3182.0,31603.0,0.025179282868525898,0.0903373356203545,0.7209206834409289,0.03938185443668993,0.4056290095306417,-0.11186158208995
esm2_top4_bilstm_attn,test,-1,rigidity_supporting,neq_peak,residue,band_interval,208,208,205,3498,784,0.22412807318467695,0.18989708790332807,0.16889337426994497,0.21104137657070152,0.032816732272733656,0.029759650552275675,0.03598950170063658,0.18989708790332807,0.1698783048221785,0.210832724907664,0.5808335065465309,0.5631585029580621,0.5990156791218743,0.05462608496841307,0.049201632154056624,0.05976486291210013,0.3853652972249295,0.37786608676759553,0.39266135327635593,-0.12292452089648036,-0.12979503774837384,-0.11605540295377349,0.07254445246022237,0.0703456610682609,0.07462934223312076,784.0,19676.0,2714.0,24161.0,0.038318670576735096,0.22412807318467695,0.5511554166571617,0.06544786710075966,0.38764174492091935,-0.11866926316809528
esm2_top4_bilstm_attn,test,-1,rigidity_supporting,q8_loop_turn_bend_CTS,segment,apex_any,208,208,0,3581,15,0.004188774085450991,0.003759109405280075,0.0017414599712618005,0.006054799886334369,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
esm2_top4_bilstm_attn,test,-1,rigidity_supporting,q8_loop_turn_bend_CTS,segment,band_interval_any,208,208,0,3581,1536,0.4289304663501815,0.38576902421683346,0.35578800060297794,0.4150002000217235,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
esm2_top4_bilstm_attn,test,1,flexibility_supporting,q8_loop_turn_bend_CTS,residue,apex_exact,208,208,204,19451,1131,0.05814611073980772,0.06097135203959533,0.057562266586015355,0.06464612755531286,0.9224833921525097,0.8981751699077067,0.9432275105069222,0.06097135203959533,0.05759575012823737,0.06470316386453795,0.9969403869676198,0.9961042461470195,0.9977245907265935,0.11332863107743675,0.10745473566731362,0.1194412157228915,0.5289558695036077,0.5270909035084587,0.5309399546072178,0.1740960973621294,0.16548495656702,0.18309684388195344,0.4139743765456635,0.39786577131631806,0.429521228026095,1131.0,82.0,18320.0,27802.0,0.93239901071723,0.05814611073980772,0.9970592454454167,0.109465737514518,0.5276026780926122,0.17188787956472534
esm2_top4_bilstm_attn,test,1,flexibility_supporting,q8_loop_turn_bend_CTS,residue,band_interval,208,208,204,19451,8826,0.45375559097218654,0.4391081010037201,0.4196686801728115,0.4582404954118004,0.6752476443238623,0.6533499613127471,0.6966292208910625,0.4391081010037201,0.4206580432677711,0.45820252212634244,0.8472786675155068,0.8347306118888606,0.8600027574623893,0.507068771477493,0.49029513268590874,0.5231829014174468,0.6431933842596134,0.6347801833917488,0.6515345637948448,0.3189343722737209,0.3017021939942282,0.3356033509766104,0.4139743765456635,0.3982550474718679,0.4307035270932386,8826.0,4800.0,10625.0,23084.0,0.647732276530163,0.45375559097218654,0.8278582699756133,0.5336638752002902,0.6408069304738999,0.3060168947800768
esm2_top4_bilstm_attn,test,1,flexibility_supporting,neq_peak,residue,apex_exact,208,208,204,3498,288,0.0823327615780446,0.09192994668458748,0.07792757580351094,0.10630490381761812,0.24500945677416266,0.2151035854804237,0.2764669739302092,0.09192994668458748,0.07835108524064333,0.10610518951799504,0.9789439312464316,0.9778097308563753,0.98008530658407,0.13024829155863654,0.11241899535806389,0.1489620980181771,0.5354369389655095,0.5284281031555355,0.542917018845717,0.11164776684887638,0.09151008062249978,0.13385111119539003,0.07254445246022237,0.0703923422956545,0.07463731754728539,288.0,925.0,3210.0,42912.0,0.23742786479802144,0.0823327615780446,0.9788991034970459,0.12226703459987263,0.5306159325375452,0.10137324228247797
esm2_top4_bilstm_attn,test,1,flexibility_supporting,neq_peak,residue,apex_within1,208,208,204,3498,734,0.20983419096626643,0.22056010235207063,0.2010972745218382,0.24102090125191525,0.19893881536038402,0.1863780593498731,0.21073541518394462,0.22056010235207063,0.20136223209860996,0.2394685323293416,0.9332681103545316,0.9306104281180383,0.9358260144090632,0.20193369210653983,0.18814369964218977,0.2161645282034878,0.5769141063533011,0.5676176973874241,0.5865188456256623,0.1447981438049289,0.12970787327598726,0.15950378603689966,0.07254445246022237,0.07046207316249262,0.07470883723755899,734.0,2905.0,2764.0,40932.0,0.20170376477054136,0.20983419096626643,0.9337317790907225,0.20568866470505814,0.5717829850284945,0.14098404143346463
esm2_top4_bilstm_attn,test,1,flexibility_supporting,neq_peak,residue,apex_within2,208,208,204,3498,1017,0.29073756432247,0.30248793363557414,0.2843471157752536,0.32179968989489205,0.1648092362430598,0.15861241464826023,0.17089892844764162,0.30248793363557414,0.2849522745393158,0.3220168143735618,0.8839144737120234,0.8792294039207718,0.8884521619131234,0.20633152588033943,0.19674608131581195,0.21540136772360208,0.5932012036737988,0.5847294773040398,0.6017389795048252,0.14038621279993407,0.12959338554521638,0.15146354998394831,0.07254445246022237,0.07043013506093966,0.0745645768985464,1017.0,5048.0,2481.0,38789.0,0.16768342951360263,0.29073756432247,0.8848461345438785,0.2126947610582453,0.5877918494331742,0.1374301029772404
esm2_top4_bilstm_attn,test,1,flexibility_supporting,neq_peak,residue,apex_within5,208,208,204,3498,1394,0.3985134362492853,0.4063157504933824,0.38776920567945944,0.4238629028787895,0.10271712002639036,0.09981727677188078,0.10569926908235028,0.4063157504933824,0.38839791944836405,0.4238616441130348,0.7263190712578089,0.7161101183182524,0.7364958838037939,0.15925300648000268,0.15383200399598032,0.16452828170054917,0.5663174108755957,0.5592317632116398,0.5735335952211548,0.07446338848813368,0.06770578298845412,0.08174246034666886,0.07254445246022237,0.07036165796272831,0.07468148166726417,1394.0,11930.0,2104.0,31907.0,0.10462323626538576,0.3985134362492853,0.7278554645618998,0.1657353465699679,0.5631844504055925,0.07350950706341502
