condition,split,metric,metric_kind,directional_hypothesis,n_paired_proteins,flex_minus_rigid_mean,flex_minus_rigid_median,sign_flip_null_mean,sign_flip_null_std,sign_flip_z,p_upper,p_lower,p_two_sided,p_upper_q_bh,p_lower_q_bh,p_two_sided_q_bh
esm2_top4_bilstm_attn,train,q8_boundary_within2,binary,upper,929,0.634205816053539,0.6666666666666667,-0.00019865148788684772,0.0239765085389637,26.459418247259354,9.999000099990002e-05,1.0,9.999000099990002e-05,0.00014116235435280002,1.0,0.00010433739234772175
esm2_top4_bilstm_attn,train,distance_to_q3_boundary,distance,lower,929,-1.6433903584888099,-1.6666666666666665,0.0007056529916628585,0.09786135767849242,-16.80025753251741,1.0,9.999000099990002e-05,9.999000099990002e-05,1.0,0.00039996000399960006,0.00010433739234772175
esm2_top4_bilstm_attn,train,distance_to_q8_boundary,distance,lower,929,-3.312333930490102,-3.352380952380952,0.0009272921328594079,0.13197734134104785,-25.104773205432533,1.0,9.999000099990002e-05,9.999000099990002e-05,1.0,0.00039996000399960006,0.00010433739234772175
esm2_top4_bilstm_attn,train,rsa,continuous,two-sided,929,0.3732268130959159,0.38006071932613855,8.316019174622081e-05,0.013022224428939666,28.654371220551365,9.999000099990002e-05,1.0,9.999000099990002e-05,0.00014116235435280002,1.0,0.00010433739234772175
esm2_top4_bilstm_attn,train,exposed_rsa_ge025,binary,two-sided,929,0.6431324747467259,0.6666666666666667,3.42128599984803e-05,0.022916906590659248,28.06217581516212,9.999000099990002e-05,1.0,9.999000099990002e-05,0.00014116235435280002,1.0,0.00010433739234772175
esm2_top4_bilstm_attn,train,disorder,continuous,upper,929,0.08086414836680425,0.049186539648669876,-3.413772463629557e-05,0.003981388974801174,20.319111396414243,9.999000099990002e-05,1.0,9.999000099990002e-05,0.00014116235435280002,1.0,0.00010433739234772175
esm2_top4_bilstm_attn,train,disorder_ge05,binary,upper,929,0.0415297277513955,0.0,1.1283996109409377e-05,0.00417447390668141,9.945790699238573,9.999000099990002e-05,1.0,9.999000099990002e-05,0.00014116235435280002,1.0,0.00010433739234772175
esm2_top4_bilstm_attn,train,interface,binary,two-sided,929,0.0,0.0,0.0,0.0,,1.0,1.0,1.0,1.0,1.0,1.0
esm2_top4_bilstm_attn,train,torsion_change_from_previous,continuous,upper,929,87.00375242836758,88.40369333144216,-0.010884386474730324,3.1381042852255328,27.728408270086742,9.999000099990002e-05,1.0,9.999000099990002e-05,0.00014116235435280002,1.0,0.00010433739234772175
esm2_top4_bilstm_attn,validation,neq,continuous,flexibility-supporting higher,207,0.9623324654054123,0.8624999999999998,-0.0005283568912309729,0.07656938665774593,12.575010253124942,9.999000099990002e-05,1.0,9.999000099990002e-05,0.00014116235435280002,1.0,0.00010433739234772175
esm2_top4_bilstm_attn,validation,flexible_neq_gt1,binary,flexibility-supporting higher,207,0.8255503822532808,0.9333333333333333,-0.001086596122610615,0.06012859146010336,13.747818771447244,9.999000099990002e-05,1.0,9.999000099990002e-05,0.00014116235435280002,1.0,0.00010433739234772175
esm2_top4_bilstm_attn,validation,neq_top10_within_protein,binary,flexibility-supporting higher,207,0.34748004276989786,0.3333333333333333,0.0004452658157730621,0.02902013336874289,11.958414268623253,9.999000099990002e-05,1.0,9.999000099990002e-05,0.00014116235435280002,1.0,0.00010433739234772175
esm2_top4_bilstm_attn,validation,neq_peak,binary,flexibility-supporting higher,207,0.21401910622925116,0.2,-0.0002341632441632441,0.020019510598200292,10.702223134898977,9.999000099990002e-05,1.0,9.999000099990002e-05,0.00014116235435280002,1.0,0.00010433739234772175
esm2_top4_bilstm_attn,validation,distance_to_neq_peak,distance,flexibility-supporting lower,207,-5.947612311199268,-6.166666666666666,-0.002479230893904805,0.4613255568859976,-12.887066392843524,1.0,9.999000099990002e-05,9.999000099990002e-05,1.0,0.00039996000399960006,0.00010433739234772175
esm2_top4_bilstm_attn,validation,distance_to_neq_top10,distance,flexibility-supporting lower,207,-5.273716789115339,-5.171428571428571,-0.004376393480378988,0.45480897973837725,-11.585831921493892,1.0,9.999000099990002e-05,9.999000099990002e-05,1.0,0.00039996000399960006,0.00010433739234772175
esm2_top4_bilstm_attn,validation,q3_is_H,binary,two-sided,207,-0.6652425875251963,-0.75,-0.00040752314379125974,0.05160511171193006,-12.883124216311087,1.0,9.999000099990002e-05,9.999000099990002e-05,1.0,0.00039996000399960006,0.00010433739234772175
esm2_top4_bilstm_attn,validation,q3_is_E,binary,two-sided,207,-0.271817869462797,-0.16666666666666666,0.0002043769006087845,0.02979908540568529,-9.128543465683258,1.0,9.999000099990002e-05,9.999000099990002e-05,1.0,0.00039996000399960006,0.00010433739234772175
esm2_top4_bilstm_attn,validation,q3_is_C,binary,two-sided,207,0.9370604569879932,1.0,0.00034029408862742207,0.06561721061358171,14.2755254930858,9.999000099990002e-05,1.0,9.999000099990002e-05,0.00014116235435280002,1.0,0.00010433739234772175
esm2_top4_bilstm_attn,validation,q8_is_T,binary,upper,207,0.32679531284603747,0.3333333333333333,-0.00041779071572549837,0.028237531373582973,11.587879238901184,9.999000099990002e-05,1.0,9.999000099990002e-05,0.00014116235435280002,1.0,0.00010433739234772175
esm2_top4_bilstm_attn,validation,q8_is_S,binary,upper,207,0.1488305977436412,0.1,0.00035957869559318835,0.01631771555400935,9.098762541645598,9.999000099990002e-05,1.0,9.999000099990002e-05,0.00014116235435280002,1.0,0.00010433739234772175
esm2_top4_bilstm_attn,validation,q8_turn_or_bend_TS,binary,upper,207,0.47562591058967874,0.5,0.000629508524218669,0.03779666368118791,12.567151589675213,9.999000099990002e-05,1.0,9.999000099990002e-05,0.00014116235435280002,1.0,0.00010433739234772175
esm2_top4_bilstm_attn,validation,q8_loop_turn_bend_CTS,binary,upper,207,0.9220414582733424,1.0,0.0006824864990082383,0.06471335746014902,14.23753932627764,9.999000099990002e-05,1.0,9.999000099990002e-05,0.00014116235435280002,1.0,0.00010433739234772175
esm2_top4_bilstm_attn,validation,structured_linker_loop,binary,upper,207,0.7791870971218796,0.8,-0.0003659656165090948,0.056331054178927496,13.838779942982258,9.999000099990002e-05,1.0,9.999000099990002e-05,0.00014116235435280002,1.0,0.00010433739234772175
esm2_top4_bilstm_attn,validation,q3_boundary_within2,binary,upper,207,0.3850169020458875,0.45833333333333337,0.00028610917799323603,0.03956584972116778,9.723809688890944,9.999000099990002e-05,1.0,9.999000099990002e-05,0.00014116235435280002,1.0,0.00010433739234772175
