condition,split,sign,label,metric,metric_description,n_proteins,n_bands,case_macro_protein_mean,control_macro_protein_mean,case_minus_control_macro_mean,ci95_low,ci95_high,inference_eligible,wilcoxon_p_two_sided,wilcoxon_q_bh
esm2_top4_bilstm_attn,train,-1,rigidity_supporting,log_abs_influence,log absolute signed influence,913,5205,-5.084600165272739,-6.694033475333298,1.6094333100605591,1.5638870981293107,1.6549795219918075,True,1.1539389203835247e-145,4.154180113380689e-145
esm2_top4_bilstm_attn,train,-1,rigidity_supporting,log_attention_breadth,log attention column mean,913,5205,-5.155984958978199,-5.59443856680126,0.4384536078230613,0.4168967718133676,0.460010443832755,True,1.2380109183670766e-125,4.244608862972834e-125
esm2_top4_bilstm_attn,train,1,flexibility_supporting,attention_breadth,attention column mean B_j,948,5456,0.0159724833327096,0.005806818223619659,0.01016566510908989,0.009620320520426242,0.01071100969775354,True,1.0050899800435234e-156,9.507444522575038e-156
esm2_top4_bilstm_attn,train,1,flexibility_supporting,directional_evidence,sign * intrinsic signed evidence s_j,948,5456,1.13327789538504,0.3163062190632991,0.816971676321741,0.8017320129015939,0.832211339741888,True,1.0050899800435234e-156,9.507444522575038e-156
esm2_top4_bilstm_attn,train,1,flexibility_supporting,directional_influence,sign * I_j,948,5456,0.019625620392747734,0.002373795454586516,0.017251824938161176,0.016300727964706718,0.018202921911615634,True,1.0050899800435234e-156,9.507444522575038e-156
esm2_top4_bilstm_attn,train,1,flexibility_supporting,log_abs_evidence,log absolute intrinsic evidence,948,5456,0.09029481545454529,-1.1241108156178374,1.2144056310723828,1.1878348318278662,1.2409764303168993,True,1.0114770486122999e-156,9.507444522575038e-156
esm2_top4_bilstm_attn,train,1,flexibility_supporting,log_abs_influence,log absolute signed influence,948,5456,-4.349897761258595,-6.533827292519232,2.1839295312606373,2.146002925901499,2.2218561366197753,True,1.0082784639577412e-156,9.507444522575038e-156
esm2_top4_bilstm_attn,train,1,flexibility_supporting,log_attention_breadth,log attention column mean,948,5456,-4.440192575874812,-5.409716476549332,0.9695239006745197,0.9522547885698252,0.9867930127792142,True,1.0050899800435234e-156,9.507444522575038e-156
esm2_top4_bilstm_attn,validation,-1,rigidity_supporting,attention_breadth,attention column mean B_j,201,1117,0.006763215602305358,0.004142679666440847,0.002620535935864489,0.0021985012076024303,0.0030425706641265477,True,1.2751068184267084e-27,1.3771153639008451e-27
esm2_top4_bilstm_attn,validation,-1,rigidity_supporting,directional_evidence,sign * intrinsic signed evidence s_j,201,1117,1.2127145755388438,0.2700720544735542,0.9426425210652893,0.897016425047972,0.9882686170826067,True,1.0454091156356772e-34,1.42017842124092e-34
esm2_top4_bilstm_attn,validation,-1,rigidity_supporting,directional_influence,sign * I_j,201,1117,0.009316885029449589,0.0011469216287678418,0.008169963400681726,0.007232691569341815,0.009107235232021636,True,1.0454091156356772e-34,1.42017842124092e-34
esm2_top4_bilstm_attn,validation,-1,rigidity_supporting,log_abs_evidence,log absolute intrinsic evidence,201,1117,0.058810385700188074,-1.104361946468844,1.163172332169032,1.093946347878515,1.232398316459549,True,1.2700066535613465e-34,1.714508982307818e-34
esm2_top4_bilstm_attn,validation,-1,rigidity_supporting,log_abs_influence,log absolute signed influence,201,1117,-5.157254021054202,-6.761134325836016,1.6038803047818122,1.5023317552334534,1.705428854330171,True,1.5195998880813563e-34,1.949448270979184e-34
esm2_top4_bilstm_attn,validation,-1,rigidity_supporting,log_attention_breadth,log attention column mean,201,1117,-5.216064407215124,-5.656772380183138,0.44070797296801545,0.39264837778210054,0.48876756815393035,True,1.1214440358024269e-28,1.2233934936026475e-28
esm2_top4_bilstm_attn,validation,1,flexibility_supporting,attention_breadth,attention column mean B_j,207,1180,0.014477537696345836,0.0050633219527197815,0.009414215743626008,0.008550780015123485,0.010277651472128531,True,1.022821555889401e-35,1.9725844292152732e-35
esm2_top4_bilstm_attn,validation,1,flexibility_supporting,directional_evidence,sign * intrinsic signed evidence s_j,207,1180,1.1465835653206105,0.32171890105248396,0.8248646642681268,0.7932389620417162,0.8564903664945374,True,1.022821555889401e-35,1.9725844292152732e-35
esm2_top4_bilstm_attn,validation,1,flexibility_supporting,directional_influence,sign * I_j,207,1180,0.018097338422588507,0.0022148981359531735,0.0158824402866353,0.014408070581190617,0.017356809992079985,True,1.022821555889401e-35,1.9725844292152732e-35
esm2_top4_bilstm_attn,validation,1,flexibility_supporting,log_abs_evidence,log absolute intrinsic evidence,207,1180,0.08797438585586473,-1.0861853724933463,1.1741597583492112,1.118535977447719,1.2297835392507033,True,1.099984688051478e-35,2.0841815142028005e-35
esm2_top4_bilstm_attn,validation,1,flexibility_supporting,log_abs_influence,log absolute signed influence,207,1180,-4.392011148752855,-6.563286620027663,2.1712754712748086,2.091015542063756,2.251535400485861,True,1.022821555889401e-35,1.9725844292152732e-35
esm2_top4_bilstm_attn,validation,1,flexibility_supporting,log_attention_breadth,log attention column mean,207,1180,-4.479985533016511,-5.477101247664103,0.9971157146475902,0.9602226426665674,1.034008786628613,True,1.022821555889401e-35,1.9725844292152732e-35
esm3_frozen_bilstm_attn,test,-1,rigidity_supporting,attention_breadth,attention column mean B_j,200,1158,0.0069312873158520645,0.004371816331649026,0.00255947098420302,0.0019913021144814533,0.003127639853924587,True,1.3243682940152243e-21,1.3243682940152245e-21
esm3_frozen_bilstm_attn,test,-1,rigidity_supporting,directional_evidence,sign * intrinsic signed evidence s_j,200,1158,1.5548271151562825,0.36121426866744955,1.1936128464888327,1.1400997320461286,1.2471259609315368,True,1.4578975098014203e-34,1.8856638450126155e-34
esm3_frozen_bilstm_attn,test,-1,rigidity_supporting,directional_influence,sign * I_j,200,1158,0.012547572248612781,0.0008911437527929648,0.011656428495819795,0.010453750880032394,0.012859106111607196,True,1.4361059590739e-34,1.8686679949395325e-34
esm3_frozen_bilstm_attn,test,-1,rigidity_supporting,log_abs_evidence,log absolute intrinsic evidence,200,1158,0.30083903258896216,-0.8435927049537696,1.1444317375427318,1.0819258889832093,1.2069375861022542,True,5.7903607006458285e-34,6.8345241056803225e-34
esm3_frozen_bilstm_attn,test,-1,rigidity_supporting,log_abs_influence,log absolute signed influence,200,1158,-4.953487306522052,-6.551653496052884,1.5981661895308321,1.4897804131267125,1.7065519659349517,True,1.0641819219615324e-32,1.197204662206724e-32
esm3_frozen_bilstm_attn,test,-1,rigidity_supporting,log_attention_breadth,log attention column mean,200,1158,-5.254326339556332,-5.708060791844685,0.45373445228835235,0.3893174945516007,0.518151410025104,True,2.1133165302546983e-23,2.1330671520327795e-23
esm3_frozen_bilstm_attn,test,1,flexibility_supporting,attention_breadth,attention column mean B_j,207,1229,0.017057317636013505,0.005121014944575163,0.0119363026914383,0.010671400815343589,0.013201204567533011,True,1.022821555889401e-35,1.9725844292152732e-35
esm3_frozen_bilstm_attn,test,1,flexibility_supporting,directional_evidence,sign * intrinsic signed evidence s_j,207,1229,1.2101357734139193,0.3030320491373709,0.9071037242765483,0.8697594410362351,0.9444480075168614,True,1.022821555889401e-35,1.9725844292152732e-35
esm3_frozen_bilstm_attn,test,1,flexibility_supporting,directional_influence,sign * I_j,207,1229,0.024405239800837825,0.0024286770382721816,0.021976562762565616,0.019587219979481464,0.02436590554564977,True,1.022821555889401e-35,1.9725844292152732e-35
esm3_frozen_bilstm_attn,test,1,flexibility_supporting,log_abs_evidence,log absolute intrinsic evidence,207,1229,0.1073585452663902,-1.067323507465754,1.1746820527321442,1.120955293672596,1.2284088117916925,True,1.0684486923426731e-35,2.042344403062101e-35
esm3_frozen_bilstm_attn,test,1,flexibility_supporting,log_abs_influence,log absolute signed influence,207,1229,-4.343439464577656,-6.59972460043305,2.256285135855394,2.1717176107427356,2.3408526609680527,True,1.022821555889401e-35,1.9725844292152732e-35
esm3_frozen_bilstm_attn,test,1,flexibility_supporting,log_attention_breadth,log attention column mean,207,1229,-4.450798009868703,-5.532401094771058,1.0816030849023548,1.0406544092929326,1.122551760511777,True,1.022821555889401e-35,1.9725844292152732e-35
esm3_frozen_bilstm_attn,train,-1,rigidity_supporting,attention_breadth,attention column mean B_j,918,5397,0.007575774848607106,0.004406182726457928,0.0031695921221491525,0.0029203983041177564,0.0034187859401805486,True,1.0187697857788663e-105,3.1436324818319303e-105
esm3_frozen_bilstm_attn,train,-1,rigidity_supporting,directional_evidence,sign * intrinsic signed evidence s_j,918,5397,1.5494690652866605,0.3435656563448155,1.2059034089418448,1.1822657293413763,1.2295410885423133,True,7.981436573919118e-152,4.536816578859288e-151
esm3_frozen_bilstm_attn,train,-1,rigidity_supporting,directional_influence,sign * I_j,918,5397,0.013537293251196488,0.0011790068334970817,0.012358286417699383,0.011728953346058807,0.01298761948933996,True,7.981436573919118e-152,4.536816578859288e-151
esm3_frozen_bilstm_attn,train,-1,rigidity_supporting,log_abs_evidence,log absolute intrinsic evidence,918,5397,0.29683436428356175,-0.9035850623927034,1.200419426676265,1.169893196197617,1.2309456571549129,True,2.0165219584600552e-148,8.066087833840222e-148
esm3_frozen_bilstm_attn,train,-1,rigidity_supporting,log_abs_influence,log absolute signed influence,918,5397,-4.908612696166949,-6.632014244819176,1.7234015486522276,1.67349110006528,1.7733119972391753,True,4.9795615704138357e-147,1.8230259308633705e-146
esm3_frozen_bilstm_attn,train,-1,rigidity_supporting,log_attention_breadth,log attention column mean,918,5397,-5.205447060700801,-5.728429182219608,0.5229821215188065,0.4937994480957252,0.5521647949418879,True,5.836842466868145e-117,1.910239352793211e-116
esm3_frozen_bilstm_attn,train,1,flexibility_supporting,attention_breadth,attention column mean B_j,949,5618,0.01851878037086558,0.0056420181426717324,0.012876762228193802,0.01219726299863781,0.013556261457749795,True,6.948074728699422e-157,9.469356898995986e-156
esm3_frozen_bilstm_attn,train,1,flexibility_supporting,directional_evidence,sign * intrinsic signed evidence s_j,949,5618,1.273639064604464,0.3662743514451113,0.9073647131593526,0.8903471428898881,0.9243822834288171,True,6.904246571814095e-157,9.469356898995986e-156
esm3_frozen_bilstm_attn,train,1,flexibility_supporting,directional_influence,sign * I_j,949,5618,0.02722939002419984,0.0029677199659869395,0.02426167005821286,0.02295933346824592,0.0255640066481798,True,6.904246571814095e-157,9.469356898995986e-156
esm3_frozen_bilstm_attn,train,1,flexibility_supporting,log_abs_evidence,log absolute intrinsic evidence,949,5618,0.1773273840398494,-0.9580083245680012,1.1353357086078504,1.1110299891695914,1.1596414280461094,True,9.317743036569772e-156,6.708774986330236e-155
esm3_frozen_bilstm_attn,train,1,flexibility_supporting,log_abs_influence,log absolute signed influence,949,5618,-4.221175242074391,-6.462017167489672,2.240841925415281,2.2016576133792842,2.2800262374512776,True,1.0123667778667863e-156,9.507444522575038e-156
esm3_frozen_bilstm_attn,train,1,flexibility_supporting,log_attention_breadth,log attention column mean,949,5618,-4.398502626237461,-5.5040088425395775,1.1055062163021172,1.0849121084298872,1.1261003241743472,True,7.01433844370073e-157,9.469356898995986e-156
esm3_frozen_bilstm_attn,validation,-1,rigidity_supporting,attention_breadth,attention column mean B_j,198,1131,0.006973535380988894,0.003915912883321068,0.0030576224976678053,0.002522089279822261,0.0035931557155133493,True,2.3137822078059396e-25,2.437936375054063e-25
esm3_frozen_bilstm_attn,validation,-1,rigidity_supporting,directional_evidence,sign * intrinsic signed evidence s_j,198,1131,1.5766001790726294,0.3733251327755373,1.203275046297092,1.1521087203626694,1.2544413722315146,True,3.1021640626838624e-34,3.8072013496574673e-34
esm3_frozen_bilstm_attn,validation,-1,rigidity_supporting,directional_influence,sign * I_j,198,1131,0.012983475578588583,0.001086344207754973,0.011897131370833577,0.010586902041014215,0.01320736070065294,True,3.1021640626838624e-34,3.8072013496574673e-34
esm3_frozen_bilstm_attn,validation,-1,rigidity_supporting,log_abs_evidence,log absolute intrinsic evidence,198,1131,0.3172818459752565,-0.8828393205257276,1.200121166500984,1.1382083107775787,1.2620340222243895,True,5.198800239251729e-34,6.170004679551502e-34
esm3_frozen_bilstm_attn,validation,-1,rigidity_supporting,log_abs_influence,log absolute signed influence,198,1131,-4.9424813743988425,-6.650434382118417,1.707953007719573,1.5968286016568844,1.8190774137822616,True,1.0614856816009164e-32,1.197204662206724e-32
esm3_frozen_bilstm_attn,validation,-1,rigidity_supporting,log_attention_breadth,log attention column mean,198,1131,-5.259763220655056,-5.767595062047453,0.5078318413923963,0.4420581638162542,0.5736055189685385,True,1.8786904268916553e-25,1.9892016284735174e-25
esm3_frozen_bilstm_attn,validation,1,flexibility_supporting,attention_breadth,attention column mean B_j,205,1209,0.016092252651712526,0.005080231397590157,0.011012021254122319,0.010035200546889438,0.0119888419613552,True,2.1757012366140644e-35,3.356796193633128e-35
esm3_frozen_bilstm_attn,validation,1,flexibility_supporting,directional_evidence,sign * intrinsic signed evidence s_j,205,1209,1.2260123110717949,0.350841915407598,0.8751703956641966,0.8398952981089749,0.9104454932194184,True,2.1757012366140644e-35,3.356796193633128e-35
esm3_frozen_bilstm_attn,validation,1,flexibility_supporting,directional_influence,sign * I_j,205,1209,0.023146857010917326,0.0027524901817773256,0.020394366829139962,0.01850684796588954,0.022281885692390386,True,2.1757012366140644e-35,3.356796193633128e-35
esm3_frozen_bilstm_attn,validation,1,flexibility_supporting,log_abs_evidence,log absolute intrinsic evidence,205,1209,0.13261623859167304,-0.9852209095328432,1.1178371481245164,1.0699477444333485,1.1657265518156843,True,2.207901256618639e-35,3.3823168186498296e-35
esm3_frozen_bilstm_attn,validation,1,flexibility_supporting,log_abs_influence,log absolute signed influence,205,1209,-4.330767020477769,-6.514485676979995,2.1837186565022275,2.1038217668814094,2.2636155461230456,True,2.1757012366140644e-35,3.356796193633128e-35
