condition,split,catalog_scope,sign,n_protein_rows,mean_mean_matched_interval_iou,median_mean_matched_interval_iou,n_finite_mean_matched_interval_iou,mean_median_matched_interval_iou,median_median_matched_interval_iou,n_finite_median_matched_interval_iou,mean_observed_only_bands,median_observed_only_bands,n_finite_observed_only_bands,mean_uniform_only_bands,median_uniform_only_bands,n_finite_uniform_only_bands,mean_fraction_observed_iou_ge_0_25,median_fraction_observed_iou_ge_0_25,n_finite_fraction_observed_iou_ge_0_25,mean_fraction_uniform_iou_ge_0_25,median_fraction_uniform_iou_ge_0_25,n_finite_fraction_uniform_iou_ge_0_25,mean_fraction_observed_iou_ge_0_5,median_fraction_observed_iou_ge_0_5,n_finite_fraction_observed_iou_ge_0_5,mean_fraction_uniform_iou_ge_0_5,median_fraction_uniform_iou_ge_0_5,n_finite_fraction_uniform_iou_ge_0_5,mean_fraction_observed_iou_ge_0_75,median_fraction_observed_iou_ge_0_75,n_finite_fraction_observed_iou_ge_0_75,mean_fraction_uniform_iou_ge_0_75,median_fraction_uniform_iou_ge_0_75,n_finite_fraction_uniform_iou_ge_0_75,test_set_primary
esm2_top28_bilstm_attn,validation,mean_candidate,1,208,0.6003885537830296,0.6,32,0.6045265982995762,0.6,32,5.6923076923076925,5.0,208,0.004807692307692308,0.0,208,0.07741917234670857,0.0,207,0.9875,1.0,32,0.06920661196023514,0.0,207,0.8848958333333333,1.0,32,0.007300053676865271,0.0,207,0.06354166666666666,0.0,32,False
esm2_top28_bilstm_attn,validation,seed_stable,-1,208,0.6642832436272786,0.6478174603174603,59,0.664052730261172,0.6499999999999999,59,2.730769230769231,2.0,208,0.03365384615384615,0.0,208,0.18950482913551098,0.0,176,0.9709443099273608,1.0,59,0.18240255640823821,0.0,176,0.9515738498789346,1.0,59,0.04204996392496392,0.0,176,0.16807909604519777,0.0,59,False
esm2_top28_bilstm_attn,validation,seed_stable,1,208,0.6009138002556438,0.5951388888888889,26,0.6076653047806894,0.6,26,5.519230769230769,5.0,208,0.0,0.0,208,0.05651250252699528,0.0,207,0.9903846153846154,1.0,26,0.05152055405678594,0.0,207,0.9217948717948719,1.0,26,0.005689747718733226,0.0,207,0.06538461538461539,0.0,26,False
esm2_top4_bilstm_attn,train,mean_candidate,-1,967,0.665969493551299,0.6666666666666666,429,0.6671063208765173,0.6666666666666666,429,2.391933815925543,1.0,967,0.05170630816959669,0.0,967,0.3530314901516334,0.16666666666666666,813,0.9355404551201012,1.0,452,0.3430516927179615,0.14285714285714285,813,0.9078197429414244,1.0,452,0.08205900632099894,0.0,813,0.1976099306298421,0.0,452,False
esm2_top4_bilstm_attn,train,mean_candidate,1,967,0.5997831060244854,0.6,228,0.5990572348218591,0.6,228,5.354705274043433,4.0,967,0.011375387797311272,0.0,967,0.10329505544278653,0.0,951,0.9782608695652174,1.0,230,0.0919737172536084,0.0,951,0.8805331262939958,1.0,230,0.014674143669937571,0.0,951,0.10448041089345436,0.0,230,False
esm2_top4_bilstm_attn,train,seed_stable,-1,967,0.6638498101964133,0.6666666666666666,413,0.6647937196458545,0.6666666666666666,413,2.375387797311272,1.0,967,0.050672182006204755,0.0,967,0.3416265286011887,0.125,809,0.9350943603247751,1.0,434,0.33175189904176305,0.0625,809,0.9054915514592934,1.0,434,0.07508291049700196,0.0,809,0.19106195264029366,0.0,434,False
esm2_top4_bilstm_attn,train,seed_stable,1,967,0.6016241032462362,0.6,209,0.6002069739685839,0.6,209,5.237849017580145,4.0,967,0.012409513960703205,0.0,967,0.09265539864513303,0.0,950,0.971305031446541,1.0,212,0.08158195946504565,0.0,950,0.8670204402515723,1.0,212,0.014337706153495626,0.0,950,0.11074020319303338,0.0,212,False
esm2_top4_bilstm_attn,validation,mean_candidate,-1,208,0.6839249131920554,0.6685515873015873,86,0.6838910659177597,0.6666666666666666,86,2.4423076923076925,2.0,208,0.04326923076923077,0.0,208,0.3175772408228549,0.09090909090909091,171,0.9470973782771535,1.0,89,0.31071032606120325,0.09090909090909091,171,0.9270599250936329,1.0,89,0.094750830715743,0.0,171,0.25853397538790795,0.0,89,False
esm2_top4_bilstm_attn,validation,mean_candidate,1,208,0.6032491984534468,0.6055555555555555,54,0.610617167418638,0.6,54,5.403846153846154,5.0,208,0.0,0.0,208,0.1145410254247552,0.0,208,1.0,1.0,54,0.09965721132219106,0.0,208,0.8728395061728393,1.0,54,0.019831730769230768,0.0,208,0.1280864197530864,0.0,54,False
esm2_top4_bilstm_attn,validation,seed_stable,-1,208,0.6822557483655607,0.6675595238095238,84,0.6819928969249881,0.6666666666666666,84,2.4086538461538463,2.0,208,0.04326923076923077,0.0,208,0.30603358629674415,0.0,171,0.9458812260536398,1.0,87,0.2967300243616033,0.0,171,0.9253831417624521,1.0,87,0.09058047215941953,0.0,171,0.26007115489874105,0.0,87,False
