condition,split,catalog_scope,sign,direction,n_protein_rows,mean_median_nearest_apex_distance,median_median_nearest_apex_distance,n_finite_median_nearest_apex_distance,mean_fraction_within_0_residues,median_fraction_within_0_residues,n_finite_fraction_within_0_residues,mean_fraction_within_2_residues,median_fraction_within_2_residues,n_finite_fraction_within_2_residues,mean_fraction_within_5_residues,median_fraction_within_5_residues,n_finite_fraction_within_5_residues,mean_fraction_within_10_residues,median_fraction_within_10_residues,n_finite_fraction_within_10_residues,mean_source_present_target_missing,median_source_present_target_missing,n_finite_source_present_target_missing,test_set_primary
esm3_top4_bilstm_attn,test,seed_stable,1,uniform_to_observed,208,1.4875,0.0,40,0.8616666666666667,1.0,40,0.975,1.0,40,0.975,1.0,40,0.975,1.0,40,0.0,0.0,208,True
esm2_frozen_bilstm_attn,train,mean_candidate,-1,observed_to_uniform,967,21.254,0.0,500,0.39138841322405554,0.3205128205128205,794,0.4281407946237921,0.36363636363636365,794,0.4284556560847493,0.36363636363636365,794,0.4287705175457065,0.36363636363636365,794,0.30403309203722856,0.0,967,False
esm2_frozen_bilstm_attn,train,mean_candidate,-1,uniform_to_observed,967,2.938,0.0,500,0.7700229359570019,1.0,546,0.8541456152719888,1.0,546,0.8547561158824896,1.0,546,0.8558244919508655,1.0,546,0.047569803516028956,0.0,967,False
esm2_frozen_bilstm_attn,train,mean_candidate,1,observed_to_uniform,967,58.41530054644809,37.0,366,0.1331343218139722,0.0,942,0.1455083081131177,0.0,942,0.1455083081131177,0.0,942,0.14808262987533757,0.0,942,0.5956566701137539,1.0,967,False
esm2_frozen_bilstm_attn,train,mean_candidate,1,uniform_to_observed,967,0.30191256830601093,0.0,366,0.8967863648191516,1.0,366,0.9935336976320582,1.0,366,0.9935336976320582,1.0,366,0.9935336976320582,1.0,366,0.0,0.0,967,False
esm2_frozen_bilstm_attn,train,seed_stable,-1,observed_to_uniform,967,23.71292372881356,0.0,472,0.369780560586556,0.25,780,0.4043488875587292,0.3333333333333333,780,0.4047762379860797,0.3333333333333333,780,0.4050967508065925,0.3333333333333333,780,0.3185108583247156,0.0,967,False
esm2_frozen_bilstm_attn,train,seed_stable,-1,uniform_to_observed,967,3.2415254237288136,0.0,472,0.7871056807945263,1.0,511,0.8708329450501662,1.0,511,0.871485260770975,1.0,511,0.8726268132823906,1.0,511,0.04033092037228542,0.0,967,False
esm2_frozen_bilstm_attn,train,seed_stable,1,observed_to_uniform,967,59.670694864048336,37.5,331,0.11808850986050078,0.0,938,0.13054545146189867,0.0,938,0.13054545146189867,0.0,938,0.13308857183080608,0.0,938,0.6277145811789038,1.0,967,False
esm2_frozen_bilstm_attn,train,seed_stable,1,uniform_to_observed,967,0.3413897280966767,0.0,331,0.8881741250717154,1.0,332,0.9885040160642571,1.0,332,0.9885040160642571,1.0,332,0.9885040160642571,1.0,332,0.001034126163391934,0.0,967,False
esm2_frozen_bilstm_attn,validation,mean_candidate,-1,observed_to_uniform,208,14.441176470588236,0.0,102,0.38205287452446546,0.2857142857142857,176,0.39862484422143507,0.31666666666666665,176,0.39862484422143507,0.31666666666666665,176,0.39862484422143507,0.31666666666666665,176,0.3557692307692308,0.0,208,False
