condition,split,sign,mechanism_class,n_proteins,n_bands,fraction_high_receivers_long_range_macro_mean,fraction_positive_directional_mass_long_range_macro_mean,fraction_attention_mass_long_range_macro_mean
esm3_top28_bilstm_attn,test,-1,unclassified,21,42,0.4881411184364629,0.5163888776623115,0.5131200843841905
esm3_top28_bilstm_attn,test,1,combined,205,1026,0.6085703882286011,0.7058198325087721,0.7038375591022622
esm3_top28_bilstm_attn,test,1,consultation_dominated,29,35,0.6292566635709249,0.736866753544738,0.7348150048175174
esm3_top28_bilstm_attn,test,1,evidence_dominated,66,110,0.8157303642334164,0.8331138104617855,0.7877461439702017
esm3_top28_bilstm_attn,test,1,not_magnitude_enriched,21,31,0.8442693544675582,0.8743085567300405,0.7730001290309034
esm3_top28_bilstm_attn,test,1,unclassified,32,55,0.5852871155313306,0.694463911382455,0.6922216370487825
esm3_top28_bilstm_attn,train,-1,combined,529,2111,0.5563319985403453,0.6523964210721418,0.6595873308683387
esm3_top28_bilstm_attn,train,-1,consultation_dominated,3,3,0.7374304050320881,0.7213802930585941,0.701026851123908
esm3_top28_bilstm_attn,train,-1,evidence_dominated,794,2990,0.6364774210633193,0.6724856810512756,0.6525183168610023
esm3_top28_bilstm_attn,train,-1,not_magnitude_enriched,177,234,0.8172693171709753,0.8516889187785722,0.7303605815230457
esm3_top28_bilstm_attn,train,-1,unclassified,126,272,0.5109523092702233,0.5365429616314986,0.5473070375650178
esm3_top28_bilstm_attn,train,1,combined,917,4676,0.5854202068689267,0.6922276707632676,0.6924005624935495
esm3_top28_bilstm_attn,train,1,consultation_dominated,140,217,0.6695596633731289,0.7542642061311472,0.7430784589835678
esm3_top28_bilstm_attn,train,1,evidence_dominated,322,529,0.7605539572796078,0.7910122376506895,0.7617527358817895
esm3_top28_bilstm_attn,train,1,not_magnitude_enriched,94,115,0.8794175619134843,0.888063205276571,0.7885777179288045
esm3_top28_bilstm_attn,train,1,unclassified,213,350,0.5421098179424699,0.6430221859481144,0.6436654935579122
esm3_top28_bilstm_attn,validation,-1,combined,122,467,0.5484394647098336,0.6465697230079976,0.656983624912145
esm3_top28_bilstm_attn,validation,-1,evidence_dominated,179,650,0.6485246754096685,0.693072919013906,0.668823352198075
esm3_top28_bilstm_attn,validation,-1,not_magnitude_enriched,33,36,0.8583659826835438,0.8234765283937183,0.7446736181703059
esm3_top28_bilstm_attn,validation,-1,unclassified,28,67,0.58501388574065,0.5942886260338108,0.5881216156085286
esm3_top28_bilstm_attn,validation,1,combined,203,1001,0.6095897473976024,0.717758705835476,0.7177711163293707
esm3_top28_bilstm_attn,validation,1,consultation_dominated,36,43,0.58288508554616,0.7085420653159796,0.6924807989343208
esm3_top28_bilstm_attn,validation,1,evidence_dominated,62,105,0.7848866957972968,0.8141334265029961,0.7842071662301436
esm3_top28_bilstm_attn,validation,1,not_magnitude_enriched,30,33,0.9044118055207241,0.8783166992834148,0.7237393878342574
esm3_top28_bilstm_attn,validation,1,unclassified,49,102,0.6360867776952999,0.7162763520190296,0.7096475157812416
esm3_top4_bilstm_attn,test,-1,combined,130,433,0.5715865544804601,0.6583180344947308,0.6663052980677238
esm3_top4_bilstm_attn,test,-1,consultation_dominated,1,1,0.7894736842105263,0.8473754745038466,0.8214220037094512
esm3_top4_bilstm_attn,test,-1,evidence_dominated,175,630,0.6721223175052565,0.6951814139266862,0.6736162774205182
esm3_top4_bilstm_attn,test,-1,not_magnitude_enriched,44,55,0.8154302247968616,0.8269819642757874,0.7080714701064837
esm3_top4_bilstm_attn,test,-1,unclassified,19,31,0.4366575240892207,0.42367163035857314,0.5035959822763627
esm3_top4_bilstm_attn,test,1,combined,202,974,0.5970866274156955,0.7065203188794146,0.7061080317349716
esm3_top4_bilstm_attn,test,1,consultation_dominated,27,30,0.6348498957631926,0.7235674825345699,0.7081736250057221
esm3_top4_bilstm_attn,test,1,evidence_dominated,63,102,0.7547545949584599,0.7966946550643328,0.7676609922307552
esm3_top4_bilstm_attn,test,1,not_magnitude_enriched,23,27,0.8413425980085596,0.8623184127369216,0.7381760155617032
esm3_top4_bilstm_attn,test,1,unclassified,35,67,0.5660987227059118,0.6739233248275331,0.6801126786844589
