condition,split,sign,mechanism_class,feature,n_proteins,n_bands,high_minus_low_macro_protein_mean,ci95_low,ci95_high,inference_eligible,protein_sign_p_two_sided,protein_sign_q_bh
esm2_top4_bilstm_attn,test,-1,evidence_dominated,disorder,174,668,-0.004794461068355658,-0.012237211967585135,0.0026482898308738193,True,4.246524322063394e-25,1.7174831702567503e-24
esm2_top4_bilstm_attn,test,-1,evidence_dominated,neq,174,668,-0.4009811494683644,-0.44154039474036827,-0.3604219041963605,True,1.4616682008316695e-50,1.662647578446024e-49
esm2_top4_bilstm_attn,test,-1,evidence_dominated,normalized_query_position,174,668,0.015622135000652886,-0.0013669980097124508,0.03261126801101823,True,0.11112046966151824,0.15092481700295762
esm2_top4_bilstm_attn,test,-1,evidence_dominated,query_in_any_band,174,668,0.17255924810892387,0.13683646715215617,0.20828202906569157,True,4.211530891129778e-17,1.502938474873764e-16
esm2_top4_bilstm_attn,test,-1,evidence_dominated,rsa,174,668,-0.12092962887294317,-0.13505692843575964,-0.10680232931012672,True,9.829902716615718e-35,5.59075717007519e-34
esm2_top4_bilstm_attn,test,-1,evidence_dominated,torsion_change_from_previous,174,668,-35.34520899594634,-39.434670359596154,-31.255747632296515,True,3.0586745552809425e-42,2.5303580411869613e-41
esm2_top4_bilstm_attn,test,1,combined,absolute_sequence_separation,194,972,-4.215590289028355,-5.756863525823654,-2.6743170522330555,True,1.0099447851267267e-05,2.188213701107908e-05
esm2_top4_bilstm_attn,test,1,combined,disorder,194,972,-0.03780389930683756,-0.05280572310007033,-0.022802075513604782,True,0.003142163850404388,0.005246548814436684
esm2_top4_bilstm_attn,test,1,combined,neq,194,972,0.6611250093013951,0.6046917942649591,0.717558224337831,True,1.521359597118545e-46,1.5382635926420843e-45
esm2_top4_bilstm_attn,test,1,combined,normalized_query_position,194,972,-0.020889393676669834,-0.03719436769796418,-0.004584419655375493,True,0.09842638832808569,0.13779694365931996
