condition,sign,stage,evaluation_split,n_segments,n_selected_segments,n_proteins,weighted_auroc,weighted_average_precision,macro_within_protein_q8_concordance,n_matched_protein_q8_strata,delta_auroc_from_previous_stage,delta_concordance_from_previous_stage
esm3_frozen_bilstm_attn,1,03_add_geometry_boundaries,test,3478,1175,203,0.8095543423162055,0.7988549883977865,0.8007340022317899,452,0.04661615147124809,0.03421772891767372
esm3_frozen_bilstm_attn,1,04_add_disorder,validation,3367,1148,201,0.807017987947392,0.7969023495919363,0.8095576356424893,459,0.010667516911708308,0.009922322221590951
esm3_frozen_bilstm_attn,1,04_add_disorder,test,3478,1175,203,0.8145302331432124,0.7976825679977603,0.8088230529303538,452,0.00497589082700689,0.008089050698563915
esm3_frozen_bilstm_attn,1,05_add_sequence,validation,3367,1148,201,0.8087423897757516,0.7983644133280163,0.8154863279276493,459,0.0017244018283596452,0.00592869228516002
esm3_frozen_bilstm_attn,1,05_add_sequence,test,3478,1175,203,0.8148796616738556,0.7995954498142406,0.8042525216916809,452,0.00034942853064323653,-0.0045705312386729036
esm3_top28_bilstm_attn,-1,00_q8_only,validation,1659,887,180,0.5,0.49999999999999956,0.5,254,,
esm3_top28_bilstm_attn,-1,00_q8_only,test,1723,953,177,0.5,0.4999999999999994,0.5,274,,
esm3_top28_bilstm_attn,-1,01_add_neq,validation,1659,887,180,0.667483026192859,0.6368757260856021,0.6916456376446534,254,0.16748302619285904,0.19164563764465337
esm3_top28_bilstm_attn,-1,01_add_neq,test,1723,953,177,0.6534631562653519,0.6289766556407995,0.6702147291845123,274,0.1534631562653519,0.1702147291845123
esm3_top28_bilstm_attn,-1,02_add_exposure_length_position,validation,1659,887,180,0.8176373041161944,0.7935785319062667,0.8352932975816835,254,0.15015427792333536,0.1436476599370301
esm3_top28_bilstm_attn,-1,02_add_exposure_length_position,test,1723,953,177,0.795971511738828,0.7730819700769969,0.8294015175106846,274,0.14250835547347607,0.15918678832617228
esm3_top28_bilstm_attn,-1,03_add_geometry_boundaries,validation,1659,887,180,0.822166860993618,0.7975713575264373,0.8300739966143509,254,0.004529556877423624,-0.005219300967332585
