condition,sign,model_cohort,receiver_scope,stage,evaluation_split,n_pairs,n_proteins,auroc,average_precision,macro_protein_auroc,delta_auroc_from_previous_stage
esm2_top28_bilstm_attn,1,water_eligible_fixed,all_eligible_queries,07_add_source_mechanism_interactions,test,8860,201,0.9618054693877259,0.9685509414527197,0.9341945666196027,-0.00045652883884894635
esm2_top28_bilstm_attn,-1,water_eligible_fixed,sequence_distal_ge21,00_distance_q8,validation,4608,161,0.5017404570716151,0.5115114521054013,0.523877119515021,
esm2_top28_bilstm_attn,-1,water_eligible_fixed,sequence_distal_ge21,00_distance_q8,test,4443,161,0.5065906708117478,0.4987786723941294,0.5114283114383971,
esm2_top28_bilstm_attn,-1,water_eligible_fixed,sequence_distal_ge21,01_add_query_biophysics,validation,4608,161,0.9849594433552454,0.9869698248517749,0.9650205187272128,0.48321898628363036
esm2_top28_bilstm_attn,-1,water_eligible_fixed,sequence_distal_ge21,01_add_query_biophysics,test,4443,161,0.9794760127951213,0.9815101308963685,0.9643947056119331,0.4728853419833735
esm2_top28_bilstm_attn,-1,water_eligible_fixed,sequence_distal_ge21,02_add_3d_geometry,validation,4608,161,0.9847261512531819,0.9868234991771254,0.9651699158761243,-0.00023329210206357587
esm2_top28_bilstm_attn,-1,water_eligible_fixed,sequence_distal_ge21,02_add_3d_geometry,test,4443,161,0.9794069146015223,0.9812882278128464,0.9630260748395564,-6.909819359901537e-05
esm2_top28_bilstm_attn,-1,water_eligible_fixed,sequence_distal_ge21,03_add_contact_network,validation,4608,161,0.9844033488534767,0.9865712698738267,0.9636062193093224,-0.0003228023997051688
esm2_top28_bilstm_attn,-1,water_eligible_fixed,sequence_distal_ge21,03_add_contact_network,test,4443,161,0.9793370058719282,0.9812680892071092,0.9652346883515762,-6.990872959411476e-05
esm2_top28_bilstm_attn,-1,water_eligible_fixed,sequence_distal_ge21,04_add_community_domain,validation,4608,161,0.984479668159887,0.9866120197621578,0.9642422058159811,7.63193064102774e-05
esm2_top28_bilstm_attn,-1,water_eligible_fixed,sequence_distal_ge21,04_add_community_domain,test,4443,161,0.9794968840970002,0.9815573075279851,0.9633455196295172,0.00015987822507201876
esm2_top28_bilstm_attn,-1,water_eligible_fixed,sequence_distal_ge21,05_add_putative_polar_contacts,validation,4608,161,0.9844736379924668,0.9867791113708744,0.9645836390522364,-6.030167420179033e-06
esm2_top28_bilstm_attn,-1,water_eligible_fixed,sequence_distal_ge21,05_add_putative_polar_contacts,test,4443,161,0.9793319400219576,0.9814522978944236,0.9636727351745659,-0.00016494407504263897
esm2_top28_bilstm_attn,-1,water_eligible_fixed,sequence_distal_ge21,06_add_crystallographic_water_network,validation,4608,161,0.9834111978701447,0.9860033424157963,0.9621509154780995,-0.0010624401223220392
esm2_top28_bilstm_attn,-1,water_eligible_fixed,sequence_distal_ge21,06_add_crystallographic_water_network,test,4443,161,0.9786196815160914,0.9809338313343521,0.9615687830001483,-0.0007122585058662034
esm2_top28_bilstm_attn,-1,water_eligible_fixed,sequence_distal_ge21,07_add_source_mechanism_interactions,validation,4608,161,0.9848328098394241,0.9873688458881806,0.961425060605148,0.0014216119692793683
esm2_top28_bilstm_attn,-1,water_eligible_fixed,sequence_distal_ge21,07_add_source_mechanism_interactions,test,4443,161,0.9785102591567265,0.9762081276096355,0.9627460560892745,-0.00010942235936484135
esm2_top28_bilstm_attn,1,water_eligible_fixed,sequence_distal_ge21,00_distance_q8,validation,8321,197,0.5172769492782676,0.5138727183319793,0.5452727542939547,
esm2_top28_bilstm_attn,1,water_eligible_fixed,sequence_distal_ge21,00_distance_q8,test,8114,198,0.5150703830763457,0.5192691764244697,0.5319715105023463,
esm2_top28_bilstm_attn,1,water_eligible_fixed,sequence_distal_ge21,01_add_query_biophysics,validation,8321,197,0.9530672326678507,0.9626487207157592,0.9442418363000057,0.43579028338958303
esm2_top28_bilstm_attn,1,water_eligible_fixed,sequence_distal_ge21,01_add_query_biophysics,test,8114,198,0.9615964883468329,0.9689019290539385,0.9324712615189156,0.4465261052704872
esm2_top28_bilstm_attn,1,water_eligible_fixed,sequence_distal_ge21,02_add_3d_geometry,validation,8321,197,0.9529647470152642,0.9625580697434678,0.9438293747956094,-0.00010248565258641484
esm2_top28_bilstm_attn,1,water_eligible_fixed,sequence_distal_ge21,02_add_3d_geometry,test,8114,198,0.9616239512380569,0.9688282673102009,0.9328482830486508,2.7462891224017127e-05
esm2_top28_bilstm_attn,1,water_eligible_fixed,sequence_distal_ge21,03_add_contact_network,validation,8321,197,0.9528874494937533,0.9626274265205277,0.9436343575869524,-7.729752151097724e-05
esm2_top28_bilstm_attn,1,water_eligible_fixed,sequence_distal_ge21,03_add_contact_network,test,8114,198,0.9616490445435337,0.9688472652412409,0.933381252214635,2.5093305476842076e-05
esm2_top28_bilstm_attn,1,water_eligible_fixed,sequence_distal_ge21,04_add_community_domain,validation,8321,197,0.953878567789002,0.963088701148644,0.9442067856303789,0.000991118295248783
esm2_top28_bilstm_attn,1,water_eligible_fixed,sequence_distal_ge21,04_add_community_domain,test,8114,198,0.9621084403854454,0.9693033757510092,0.9349522953634337,0.0004593958419116806
esm2_top28_bilstm_attn,1,water_eligible_fixed,sequence_distal_ge21,05_add_putative_polar_contacts,validation,8321,197,0.9539637799296812,0.9631335211037234,0.9440587428029765,8.521214067913618e-05
esm2_top28_bilstm_attn,1,water_eligible_fixed,sequence_distal_ge21,05_add_putative_polar_contacts,test,8114,198,0.9619878953053828,0.969245074731732,0.935138556932885,-0.00012054508006265063
esm2_top28_bilstm_attn,1,water_eligible_fixed,sequence_distal_ge21,06_add_crystallographic_water_network,validation,8321,197,0.9538004614742913,0.963059569009138,0.9443531101324621,-0.00016331845538986034
esm2_top28_bilstm_attn,1,water_eligible_fixed,sequence_distal_ge21,06_add_crystallographic_water_network,test,8114,198,0.9620636005320753,0.9692569495403957,0.9358653508668293,7.57052266925351e-05
esm2_top28_bilstm_attn,1,water_eligible_fixed,sequence_distal_ge21,07_add_source_mechanism_interactions,validation,8321,197,0.9538488735243856,0.96337380189182,0.9421685696804639,4.841205009431526e-05
esm2_top28_bilstm_attn,1,water_eligible_fixed,sequence_distal_ge21,07_add_source_mechanism_interactions,test,8114,198,0.9615305652561739,0.9685674795384549,0.9342971484966642,-0.0005330352759014279
esm2_top28_bilstm_attn,-1,water_eligible_fixed,sequence_distal_ge21_no_direct_ca,00_distance_q8,validation,4366,161,0.5048024217241669,0.49958953298313513,0.5186599753256712,
esm2_top28_bilstm_attn,-1,water_eligible_fixed,sequence_distal_ge21_no_direct_ca,00_distance_q8,test,4196,159,0.5158252470893614,0.4953202870321453,0.5038051006196298,
esm2_top28_bilstm_attn,-1,water_eligible_fixed,sequence_distal_ge21_no_direct_ca,01_add_query_biophysics,validation,4366,161,0.9845555275749182,0.9863168333176259,0.963299738980946,0.47975310585075126
esm2_top28_bilstm_attn,-1,water_eligible_fixed,sequence_distal_ge21_no_direct_ca,01_add_query_biophysics,test,4196,159,0.9790539071815305,0.9802929778592254,0.9637696219759817,0.4632286600921691
esm2_top28_bilstm_attn,-1,water_eligible_fixed,sequence_distal_ge21_no_direct_ca,02_add_3d_geometry,validation,4366,161,0.9842894317132544,0.9860817542604003,0.9632653866370843,-0.0002660958616637066
