condition,sign,stage,evaluation_split,n_segments,n_proteins,weighted_auroc,weighted_average_precision,macro_within_protein_q8_auroc,base_auroc,delta_auroc_from_base
esm3_top28_bilstm_attn,-1,01_motif_only,validation,1659,180,0.671762137474252,0.6263841017804861,0.6284091291473181,0.8383341931191605,-0.1665720556449085
esm3_top28_bilstm_attn,-1,01_motif_only,test,1723,177,0.6820710441967842,0.6248300031532501,0.6574584490696556,0.8175532943805659,-0.13548225018378168
esm3_top28_bilstm_attn,-1,02_base_plus_locked_motifs,validation,1659,180,0.8286410336403335,0.8068349132082968,0.8290960652427187,0.8383341931191605,-0.009693159478826985
esm3_top28_bilstm_attn,-1,02_base_plus_locked_motifs,test,1723,177,0.8039694584614552,0.7909217462109378,0.8219527669506201,0.8175532943805659,-0.01358383591911072
esm3_top28_bilstm_attn,1,00_biophysical_base,validation,3386,202,0.8048457951689238,0.7999244408593595,0.8026500770122309,0.8048457951689238,0.0
esm3_top28_bilstm_attn,1,00_biophysical_base,test,3666,201,0.8146148525478552,0.8085041674883149,0.80460541871735,0.8146148525478552,0.0
esm3_top28_bilstm_attn,1,01_motif_only,validation,3386,202,0.5337556729212403,0.5290758006738521,0.5263668280713987,0.8048457951689238,-0.2710901222476836
esm3_top28_bilstm_attn,1,01_motif_only,test,3666,201,0.518321403797326,0.5154467228004257,0.516098992484436,0.8146148525478552,-0.2962934487505291
esm3_top28_bilstm_attn,1,02_base_plus_locked_motifs,validation,3386,202,0.8053362476437174,0.8006155384746612,0.8044759518755622,0.8048457951689238,0.0004904524747935124
esm3_top28_bilstm_attn,1,02_base_plus_locked_motifs,test,3666,201,0.8144188623157121,0.8077585535637314,0.798116384262227,0.8146148525478552,-0.00019599023214300626
esm3_top4_bilstm_attn,-1,00_biophysical_base,validation,1646,183,0.802473354311853,0.7548143096128797,0.8076520328714722,0.802473354311853,0.0
