condition,seed,split,sign,label,n_protein_rows,weighting,mean_pearson_observed_uniform,n_finite_pearson_observed_uniform,mean_spearman_observed_uniform,n_finite_spearman_observed_uniform,mean_pearson_complete_absolute_magnitude,n_finite_pearson_complete_absolute_magnitude,mean_same_sign_top_decile_overlap,n_finite_same_sign_top_decile_overlap,mean_top_5pct_jaccard,n_finite_top_5pct_jaccard,mean_top_10pct_jaccard,n_finite_top_10pct_jaccard,mean_mean_high_influence_rank_displacement,n_finite_mean_high_influence_rank_displacement,mean_median_high_influence_rank_displacement,n_finite_median_high_influence_rank_displacement,mean_mean_high_influence_rank_displacement_normalized,n_finite_mean_high_influence_rank_displacement_normalized,mean_g_fraction_gt_1,n_finite_g_fraction_gt_1,mean_g_fraction_lt_1,n_finite_g_fraction_lt_1,mean_g_fraction_isclose_1,n_finite_g_fraction_isclose_1,mean_g_minimum,n_finite_g_minimum,mean_g_median,n_finite_g_median,mean_g_mean,n_finite_g_mean,mean_g_maximum,n_finite_g_maximum,mean_pearson_abs_evidence_g,n_finite_pearson_abs_evidence_g,mean_spearman_abs_evidence_g,n_finite_spearman_abs_evidence_g
esm3_frozen_bilstm_attn,mean_1_2_3,train,-1,rigidity_supporting,967,equal protein weighting,0.9093691199433895,967,0.9953033669209024,967,0.7648752091452651,967,0.9217627665461671,967,0.8258341452035842,967,0.8681256132482633,967,1.425502277124167,967,1.1039296794208893,967,0.01359972225594251,967,0.16367122128196548,967,0.8363287787180329,967,0.0,967,0.49188660178034554,967,0.5935518767426605,967,0.734543423746898,967,2.03201815082042,967,0.6923127133259777,967,0.6283176725615075,967
esm3_frozen_bilstm_attn,mean_1_2_3,train,1,flexibility_supporting,967,equal protein weighting,0.8547590485797043,967,0.989486714508679,967,0.7648752091452651,967,0.8778009978660914,967,0.7783774382994154,967,0.7971946304870332,967,2.15567935026501,967,1.5667011375387798,967,0.019203946045612732,967,0.4520032144029372,967,0.5479967855970629,967,0.0,967,0.5301319178805501,967,0.919559982892775,967,1.2366842295247957,967,5.34110813903317,967,0.8690410292597581,967,0.9666850845340117,967
esm3_frozen_bilstm_attn,mean_1_2_3,validation,-1,rigidity_supporting,208,equal protein weighting,0.9138878453112503,208,0.9964777859866238,208,0.7712406130275554,208,0.9322796917920912,208,0.8373962513102781,208,0.8844323550500351,208,1.42670235534955,208,1.0528846153846154,208,0.011985413063305268,208,0.1643053624825796,208,0.8356946375174206,208,0.0,208,0.49662765773385964,208,0.5930303586181904,208,0.7319769406936639,208,1.9759602394290423,208,0.6384826701061131,208,0.5385041432063326,208
esm3_frozen_bilstm_attn,mean_1_2_3,validation,1,flexibility_supporting,208,equal protein weighting,0.8618649707083681,208,0.9881397520432432,208,0.7712406130275554,208,0.8793644269756028,208,0.7784114890494381,208,0.7973549813188794,208,2.052072176886222,208,1.4903846153846154,208,0.0185388495569263,208,0.46037630468259194,208,0.5396236953174081,208,0.0,208,0.5450589483960543,208,0.9416147785880479,208,1.2412925229203817,208,5.058817184435051,208,0.8764710340573678,208,0.9657401810619661,208
esm3_top28_bilstm_attn,mean_1_2_3,test,-1,rigidity_supporting,208,equal protein weighting,0.9345669592689286,208,0.9975344314400856,208,0.7627554746332377,208,0.9474767987598638,208,0.8543692390749011,208,0.9073490626929056,208,1.2449652783019363,208,0.9567307692307693,208,0.009607990736553149,208,0.1791223951368852,208,0.8208776048631148,208,0.0,208,0.5230637936570603,208,0.6200861258620046,208,0.7466706831768837,208,1.6610076113259613,208,0.6895195160302927,208,0.5916529459767846,208
esm3_top28_bilstm_attn,mean_1_2_3,test,1,flexibility_supporting,208,equal protein weighting,0.8681578381126681,208,0.9912146800600902,208,0.7627554746332377,208,0.9152930153946196,208,0.8098104688717781,208,0.8558854641660347,208,1.4781429964223138,208,1.0961538461538463,208,0.014302800023782205,208,0.4992810057242064,208,0.5007189942757936,208,0.0,208,0.5684440075212756,208,0.9838394259028201,208,1.2712217088088893,208,5.048773909037641,208,0.8820783546740143,208,0.972038893999663,208
esm3_top28_bilstm_attn,mean_1_2_3,train,-1,rigidity_supporting,967,equal protein weighting,0.9349182065787821,967,0.9948355104026506,967,0.7687419483405776,967,0.9256752389856412,967,0.8291958466476529,967,0.8736126356309711,967,1.4067192479925397,967,1.0868665977249223,967,0.012511243712802109,967,0.1763657733389291,967,0.8236342266610702,967,0.0,967,0.5240319604984096,967,0.6366936059994242,967,0.7506958204618035,967,1.6470577279363416,967,0.7008650713461991,967,0.6243044066930513,967
esm3_top28_bilstm_attn,mean_1_2_3,train,1,flexibility_supporting,967,equal protein weighting,0.8703445890708671,967,0.9870114167238643,967,0.7687419483405776,967,0.888952009493005,967,0.7815349678558319,967,0.8151761587605082,967,1.8335150992948273,967,1.3531540847983454,967,0.017941428970813633,967,0.4899782138833853,967,0.5100217861166148,967,0.0,967,0.5647215265506605,967,0.9744269262663262,967,1.2533755552539643,967,4.84351899045001,967,0.8798616605762439,967,0.9646700554560944,967
esm3_top28_bilstm_attn,mean_1_2_3,validation,-1,rigidity_supporting,208,equal protein weighting,0.9367634433770243,208,0.9975525195699094,208,0.7548092848988166,208,0.9463731529140695,208,0.8581233051021239,208,0.9062138956019307,208,1.2399620613115276,208,0.9471153846153846,208,0.009533650426103445,208,0.17214610572831412,208,0.8278538942716858,208,0.0,208,0.5166200870666308,208,0.6098948080072704,208,0.7357498620360465,208,1.628913509954425,208,0.6587929416021973,208,0.5618234561347305,208
esm3_top28_bilstm_attn,mean_1_2_3,validation,1,flexibility_supporting,208,equal protein weighting,0.8640251499518512,208,0.9928139828543228,208,0.7548092848988166,208,0.9088976299229018,208,0.8167378961850109,208,0.8440659880486874,208,1.4244283786352565,208,1.0865384615384615,208,0.014206341200677864,208,0.4845101222978562,208,0.5154898777021437,208,0.0,208,0.5653597061316712,208,0.9693892816068957,208,1.274337621660211,208,5.2148602703647375,208,0.8804001473444814,208,0.9746221592942415,208
