condition,sign,stage,evaluation_split,n_segments,n_selected_segments,n_proteins,weighted_auroc,weighted_average_precision,macro_within_protein_q8_concordance,n_matched_protein_q8_strata,delta_auroc_from_previous_stage,delta_concordance_from_previous_stage
esm3_frozen_bilstm_attn,-1,03_add_geometry_boundaries,validation,1440,675,159,0.835121458039789,0.7929514536236493,0.8543024901135021,168,0.013897285661375602,0.00953509990340351
esm3_frozen_bilstm_attn,-1,03_add_geometry_boundaries,test,1540,704,166,0.8597756402152683,0.830962724420792,0.8847127026827117,171,0.006930010796834307,0.006353546161122825
esm3_frozen_bilstm_attn,-1,04_add_disorder,validation,1440,675,159,0.8376314163741829,0.7928648511180569,0.8574338901013009,168,0.002509958334393936,0.0031313999877987664
esm3_frozen_bilstm_attn,-1,04_add_disorder,test,1540,704,166,0.8605293211200365,0.8304091617996209,0.8826214988786165,171,0.0007536809047682391,-0.0020912038040952208
esm3_frozen_bilstm_attn,-1,05_add_sequence,validation,1440,675,159,0.8434171116090416,0.8124330521805028,0.8553296236666774,168,0.005785695234858723,-0.0021042664346234696
esm3_frozen_bilstm_attn,-1,05_add_sequence,test,1540,704,166,0.8644366845714617,0.8319948395138167,0.8829610397819054,171,0.003907363451425172,0.0003395409032889152
esm3_frozen_bilstm_attn,1,00_q8_only,validation,6791,1054,204,0.5,0.49999999999999883,0.5,479,,
esm3_frozen_bilstm_attn,1,00_q8_only,test,7011,1080,204,0.5,0.5000000000000014,0.5,465,,
esm3_frozen_bilstm_attn,1,01_add_neq,validation,6791,1054,204,0.7637779475200126,0.7549913063680465,0.7606578321999632,479,0.2637779475200126,0.2606578321999632
esm3_frozen_bilstm_attn,1,01_add_neq,test,7011,1080,204,0.7595672115907333,0.7367991031050201,0.7635320011884236,465,0.25956721159073326,0.26353200118842357
esm3_frozen_bilstm_attn,1,02_add_exposure_length_position,validation,6791,1054,204,0.8292683408281468,0.8262371595455446,0.835051083794563,479,0.06549039330813422,0.07439325159459986
esm3_frozen_bilstm_attn,1,02_add_exposure_length_position,test,7011,1080,204,0.8111010646851227,0.8050328991278938,0.8078551637288138,465,0.051533853094389404,0.04432316254039026
esm3_frozen_bilstm_attn,1,03_add_geometry_boundaries,validation,6791,1054,204,0.8522215678509013,0.8467866223935164,0.855801350833136,479,0.022953227022754485,0.020750267038572967
esm3_frozen_bilstm_attn,1,03_add_geometry_boundaries,test,7011,1080,204,0.8365269649677167,0.8260746997752768,0.8226501490446991,465,0.02542590028259406,0.0147949853158853
esm3_frozen_bilstm_attn,1,04_add_disorder,validation,6791,1054,204,0.8542151806038696,0.8460034481719404,0.8610993275844335,479,0.0019936127529682768,0.005297976751297506
esm3_frozen_bilstm_attn,1,04_add_disorder,test,7011,1080,204,0.8372762192547079,0.8257999375892722,0.823662393931461,465,0.0007492542869911301,0.0010122448867618816
esm3_frozen_bilstm_attn,1,05_add_sequence,validation,6791,1054,204,0.8570920260052158,0.8493791125647764,0.858887884536917,479,0.0028768454013462508,-0.002211443047516526
esm3_frozen_bilstm_attn,1,05_add_sequence,test,7011,1080,204,0.8376305529165584,0.825715063854938,0.8288199366668243,465,0.0003543336618505588,0.005157542735363285
esm3_top28_bilstm_attn,-1,00_q8_only,validation,1419,690,158,0.5,0.49999999999999956,0.5,164,,
esm3_top28_bilstm_attn,-1,00_q8_only,test,1492,692,166,0.5,0.5000000000000007,0.5,169,,
esm3_top28_bilstm_attn,-1,01_add_neq,validation,1419,690,158,0.7410843914383818,0.6866789656240612,0.7486756202432014,164,0.24108439143838178,0.24867562024320145
esm3_top28_bilstm_attn,-1,01_add_neq,test,1492,692,166,0.755801887090265,0.7190156875109209,0.7598381065497549,169,0.25580188709026497,0.2598381065497549
esm3_top28_bilstm_attn,-1,02_add_exposure_length_position,validation,1419,690,158,0.8663286636584454,0.8269473641567511,0.8874840380937942,164,0.12524427222006362,0.13880841785059272
esm3_top28_bilstm_attn,-1,02_add_exposure_length_position,test,1492,692,166,0.84963462460716,0.8182545379724453,0.8708929436941306,169,0.09383273751689503,0.1110548371443757
esm3_top28_bilstm_attn,-1,03_add_geometry_boundaries,validation,1419,690,158,0.8717938303993509,0.8409846555286191,0.8883523395642298,164,0.005465166740905469,0.0008683014704355951
esm3_top28_bilstm_attn,-1,03_add_geometry_boundaries,test,1492,692,166,0.8548102104020021,0.8244513114316984,0.8587382943516074,169,0.005175585794842119,-0.012154649342523194
esm3_top28_bilstm_attn,-1,04_add_disorder,validation,1419,690,158,0.8779335349882293,0.8441946028546788,0.891728244655074,164,0.00613970458887847,0.003375905090844289
esm3_top28_bilstm_attn,-1,04_add_disorder,test,1492,692,166,0.8566592342454645,0.8253606614916352,0.8587807157697686,169,0.0018490238434624162,4.242141816113154e-05
esm3_top28_bilstm_attn,-1,05_add_sequence,validation,1419,690,158,0.8825524239198215,0.8603321707660992,0.8956798459275593,164,0.0046188889315921244,0.003951601272485283
esm3_top28_bilstm_attn,-1,05_add_sequence,test,1492,692,166,0.8613469922328585,0.8282255084786087,0.8707035236426555,169,0.004687757987393959,0.011922807872886909
esm3_top28_bilstm_attn,1,00_q8_only,validation,7128,1132,205,0.5,0.5000000000000029,0.5,512,,
esm3_top28_bilstm_attn,1,00_q8_only,test,6940,1082,199,0.5,0.5000000000000078,0.5,460,,
esm3_top28_bilstm_attn,1,01_add_neq,validation,7128,1132,205,0.7701549431612822,0.7534178068430214,0.7681428003082428,512,0.2701549431612822,0.2681428003082428
esm3_top28_bilstm_attn,1,01_add_neq,test,6940,1082,199,0.7700077846155606,0.7495572176686794,0.7733888511607759,460,0.27000778461556063,0.27338885116077594
esm3_top28_bilstm_attn,1,02_add_exposure_length_position,validation,7128,1132,205,0.819104193763127,0.8032647760834843,0.8239613456097145,512,0.04894925060184485,0.05581854530147168
esm3_top28_bilstm_attn,1,02_add_exposure_length_position,test,6940,1082,199,0.816643537297058,0.805559306721191,0.8183034672772337,460,0.04663575268149733,0.04491461611645775
esm3_top28_bilstm_attn,1,03_add_geometry_boundaries,validation,7128,1132,205,0.8333816909932861,0.8179564750981099,0.8270963485307419,512,0.01427749723015903,0.003135002921027419
esm3_top28_bilstm_attn,1,03_add_geometry_boundaries,test,6940,1082,199,0.8395520013153501,0.8296588114781686,0.8366824918885188,460,0.022908464018292163,0.018379024611285155
esm3_top28_bilstm_attn,1,04_add_disorder,validation,7128,1132,205,0.8358311335436228,0.818779527238709,0.8311682498851225,512,0.0024494425503367445,0.004071901354380625
esm3_top28_bilstm_attn,1,04_add_disorder,test,6940,1082,199,0.8407064730349594,0.8318514738749793,0.8377436168070478,460,0.0011544717196092513,0.001061124918528944
esm3_top28_bilstm_attn,1,05_add_sequence,validation,7128,1132,205,0.8369969335458798,0.8198570382822821,0.8345311053497609,512,0.001165800002256967,0.0033628554646384368
esm3_top28_bilstm_attn,1,05_add_sequence,test,6940,1082,199,0.8417058689000908,0.8327851016956344,0.8393980512452294,460,0.000999395865131425,0.0016544344381815845
esm3_top4_bilstm_attn,-1,00_q8_only,validation,1392,645,156,0.5,0.5,0.5,161,,
esm3_top4_bilstm_attn,-1,00_q8_only,test,1508,664,166,0.5,0.5000000000000012,0.5,169,,
esm3_top4_bilstm_attn,-1,01_add_neq,validation,1392,645,156,0.7204373080358729,0.6638902735396599,0.7399343240037658,161,0.22043730803587291,0.2399343240037658
esm3_top4_bilstm_attn,-1,01_add_neq,test,1508,664,166,0.7625594776622228,0.7286459971605437,0.7623352154841474,169,0.26255947766222276,0.2623352154841474
esm3_top4_bilstm_attn,-1,02_add_exposure_length_position,validation,1392,645,156,0.8438230014738268,0.7978951084354945,0.8683297585792857,161,0.12338569343795391,0.12839543457551994
esm3_top4_bilstm_attn,-1,02_add_exposure_length_position,test,1508,664,166,0.8391999577150873,0.7748945543215626,0.8559845708360765,169,0.0766404800528645,0.09364935535192909
esm3_top4_bilstm_attn,-1,03_add_geometry_boundaries,validation,1392,645,156,0.854617112222515,0.8201671689906243,0.8703785826197737,161,0.01079411074868819,0.0020488240404880065
esm3_top4_bilstm_attn,-1,03_add_geometry_boundaries,test,1508,664,166,0.8504662069744289,0.7999728602156846,0.8672968128634475,169,0.01126624925934161,0.011312242027371022
esm3_top4_bilstm_attn,-1,04_add_disorder,validation,1392,645,156,0.8564684826573741,0.8160535332537528,0.8721309748962343,161,0.0018513704348590565,0.0017523922764605127
esm3_top4_bilstm_attn,-1,04_add_disorder,test,1508,664,166,0.8533075379928441,0.7995199360187677,0.8706344896945195,169,0.0028413310184152163,0.0033376768310720006
esm3_top4_bilstm_attn,-1,05_add_sequence,validation,1392,645,156,0.857883142166833,0.8239368777397338,0.8645699080300433,161,0.0014146595094589598,-0.0075610668661909575
esm3_top4_bilstm_attn,-1,05_add_sequence,test,1508,664,166,0.8571216326562126,0.8079220470788371,0.8718627267071694,169,0.0038140946633684614,0.0012282370126498465
