condition,sign,stage,evaluation_split,model_status,n_train_segments,n_segments,n_selected_segments,n_proteins,weighted_auroc,weighted_average_precision,macro_within_protein_q8_concordance,n_matched_protein_q8_strata,delta_auroc_from_previous_stage,delta_concordance_from_previous_stage
esm3_frozen_bilstm_attn,-1,05_add_ecod_domain,validation,ok,7371,1437,674,158,0.8437271667590975,0.7997912271094942,0.8666528421955069,167,0.0013476689357663219,0.0013997673428811641
esm3_frozen_bilstm_attn,-1,05_add_ecod_domain,test,ok,7371,1521,703,166,0.8735149382298415,0.8414713025938375,0.8892555354998428,170,0.001019877580458295,0.0018726008724350152
esm3_frozen_bilstm_attn,1,00_q8_only,validation,ok,30949,6496,980,199,0.5,0.49999999999999983,0.5,461,,
esm3_frozen_bilstm_attn,1,00_q8_only,test,ok,30949,6755,999,199,0.5,0.4999999999999981,0.5,454,,
esm3_frozen_bilstm_attn,1,01_base_biophysics,validation,ok,30949,6496,980,199,0.8260238843513659,0.8219568235188274,0.8289570575225512,461,0.32602388435136587,0.3289570575225512
esm3_frozen_bilstm_attn,1,01_base_biophysics,test,ok,30949,6755,999,199,0.8075753627417972,0.7994473396361207,0.8064653952131371,454,0.3075753627417972,0.3064653952131371
esm3_frozen_bilstm_attn,1,02_add_local_sequence_or_annotation_geometry,validation,ok,30949,6496,980,199,0.8499236751603627,0.8419187586723117,0.8557814023768692,461,0.023899790808996846,0.02682434485431795
esm3_frozen_bilstm_attn,1,02_add_local_sequence_or_annotation_geometry,test,ok,30949,6755,999,199,0.8314351242016668,0.8213841569826509,0.8184513825769681,454,0.023859761459869566,0.011985987363831052
esm3_frozen_bilstm_attn,1,03_add_experimental_pdb_geometry,validation,ok,30949,6496,980,199,0.8585626778060986,0.8500523885677799,0.8572075019345378,461,0.008639002645735916,0.001426099557668592
esm3_frozen_bilstm_attn,1,03_add_experimental_pdb_geometry,test,ok,30949,6755,999,199,0.8375069227171248,0.8266063452487366,0.8280715825833125,454,0.006071798515458027,0.009620200006344337
esm3_frozen_bilstm_attn,1,04_add_contact_network,validation,ok,30949,6496,980,199,0.8681628253339257,0.8560374035150798,0.8618919804217791,461,0.009600147527827119,0.004684478487241295
esm3_frozen_bilstm_attn,1,04_add_contact_network,test,ok,30949,6755,999,199,0.8461760736371395,0.8340587157257098,0.8454393488398114,454,0.008669150920014745,0.01736776625649894
esm3_frozen_bilstm_attn,1,05_add_ecod_domain,validation,ok,30949,6496,980,199,0.8691609955765245,0.8562638218435111,0.8631448089119326,461,0.0009981702425987393,0.0012528284901535125
