condition,split,sign,q8,n_selected_segments,n_proteins,structure_available_fraction,structure_eligible_fraction,fully_resolved_fraction,strain_available_fraction
esm3_top28_bilstm_attn,test,-1,E,11,9,1.0,1.0,1.0,1.0
esm3_top28_bilstm_attn,test,-1,G,1,1,1.0,1.0,1.0,1.0
esm3_top28_bilstm_attn,test,-1,H,710,171,1.0,1.0,0.9859154929577465,1.0
esm3_top28_bilstm_attn,train,-1,C,5,4,1.0,1.0,1.0,0.0
esm3_top28_bilstm_attn,train,-1,E,57,33,1.0,1.0,1.0,0.0
esm3_top28_bilstm_attn,train,-1,G,8,8,1.0,1.0,1.0,0.0
esm3_top28_bilstm_attn,train,-1,H,3169,765,0.995582202587567,0.9949510886715052,0.9876932786367939,0.0
esm3_top28_bilstm_attn,train,-1,T,2,2,1.0,1.0,1.0,0.0
esm3_top28_bilstm_attn,validation,-1,C,1,1,1.0,1.0,1.0,0.0
esm3_top28_bilstm_attn,validation,-1,E,9,8,1.0,1.0,1.0,0.0
esm3_top28_bilstm_attn,validation,-1,H,717,173,1.0,1.0,0.99581589958159,0.0
esm3_top4_bilstm_attn,test,-1,C,2,2,1.0,1.0,1.0,1.0
esm3_top4_bilstm_attn,test,-1,E,11,9,1.0,1.0,1.0,1.0
esm3_top4_bilstm_attn,test,-1,G,2,2,1.0,1.0,1.0,1.0
esm3_top4_bilstm_attn,test,-1,H,676,169,1.0,1.0,0.985207100591716,1.0
esm3_top4_bilstm_attn,train,-1,C,7,7,1.0,1.0,1.0,0.0
esm3_top4_bilstm_attn,train,-1,E,81,52,1.0,1.0,1.0,0.0
esm3_top4_bilstm_attn,train,-1,G,7,7,1.0,1.0,1.0,0.0
esm3_top4_bilstm_attn,train,-1,H,3103,770,0.9967773122784402,0.9961327747341283,0.9880760554302288,0.0
esm3_top4_bilstm_attn,train,-1,T,2,2,1.0,1.0,1.0,0.0
esm3_top4_bilstm_attn,validation,-1,E,8,8,1.0,1.0,1.0,0.0
esm3_top4_bilstm_attn,validation,-1,H,673,171,1.0,0.9985141158989599,0.9940564635958395,0.0
