condition,split,catalog_scope,sign,analysis_component,metric,estimate_equal_protein_mean,bootstrap_ci_lower_95,bootstrap_ci_upper_95,n_protein_rows,n_finite_protein_rows,n_bootstrap,test_set_primary,direction
esm2_top4_bilstm_attn,test,seed_stable,-1,hungarian_interval_iou,fraction_shifted_attention_iou_ge_0_75,0.4098108216032745,0.34763267217084715,0.47322765151515145,208,159,2000,True,
esm2_top4_bilstm_attn,test,mean_candidate,-1,hungarian_interval_iou,mean_matched_interval_iou,0.7186439475019046,0.6997276821304962,0.7381962307061181,208,158,2000,True,
esm2_top4_bilstm_attn,test,seed_stable,-1,hungarian_interval_iou,mean_matched_interval_iou,0.7219300029403662,0.7026452251308997,0.7405400611893274,208,143,2000,True,
esm2_top4_bilstm_attn,test,mean_candidate,-1,hungarian_interval_iou,median_matched_interval_iou,0.721620893344464,0.7022710242753644,0.7414169417604686,208,158,2000,True,
esm2_top4_bilstm_attn,test,seed_stable,-1,hungarian_interval_iou,median_matched_interval_iou,0.723992110450671,0.7046830662924137,0.7426344806861046,208,143,2000,True,
esm2_top4_bilstm_attn,test,mean_candidate,-1,hungarian_interval_iou,observed_only_bands,1.4759615384615385,1.2355769230769231,1.7164663461538454,208,208,2000,True,
esm2_top4_bilstm_attn,test,seed_stable,-1,hungarian_interval_iou,observed_only_bands,1.875,1.6105769230769231,2.1490384615384617,208,208,2000,True,
esm2_top4_bilstm_attn,test,mean_candidate,-1,hungarian_interval_iou,shifted_attention_only_bands,0.46153846153846156,0.36538461538461536,0.5673076923076923,208,208,2000,True,
esm2_top4_bilstm_attn,test,seed_stable,-1,hungarian_interval_iou,shifted_attention_only_bands,0.3076923076923077,0.23557692307692307,0.3942307692307692,208,208,2000,True,
esm2_top4_bilstm_attn,test,mean_candidate,1,hungarian_interval_iou,fraction_observed_iou_ge_0_25,0.2796008741660916,0.24219402297066664,0.3189595651638336,208,207,2000,True,
esm2_top4_bilstm_attn,test,seed_stable,1,hungarian_interval_iou,fraction_observed_iou_ge_0_25,0.18413022833312687,0.15284453670323223,0.21709147342649196,208,207,2000,True,
esm2_top4_bilstm_attn,test,mean_candidate,1,hungarian_interval_iou,fraction_observed_iou_ge_0_5,0.25423746945486075,0.21906199346873365,0.2900990814529306,208,207,2000,True,
esm2_top4_bilstm_attn,test,seed_stable,1,hungarian_interval_iou,fraction_observed_iou_ge_0_5,0.16791226754994876,0.13673373349788326,0.20054487654974526,208,207,2000,True,
esm2_top4_bilstm_attn,test,mean_candidate,1,hungarian_interval_iou,fraction_observed_iou_ge_0_75,0.11533911606375374,0.09263692069193125,0.13974783204323613,208,207,2000,True,
esm2_top4_bilstm_attn,test,seed_stable,1,hungarian_interval_iou,fraction_observed_iou_ge_0_75,0.07655572420065174,0.05805919355738194,0.09767760637778755,208,207,2000,True,
esm2_top4_bilstm_attn,test,mean_candidate,1,hungarian_interval_iou,fraction_shifted_attention_iou_ge_0_25,0.9391323953823955,0.9058520917169685,0.9678531388796319,208,140,2000,True,
esm2_top4_bilstm_attn,test,seed_stable,1,hungarian_interval_iou,fraction_shifted_attention_iou_ge_0_25,0.9488938053097344,0.9168067528735632,0.9769588092606238,208,113,2000,True,
esm2_top4_bilstm_attn,test,mean_candidate,1,hungarian_interval_iou,fraction_shifted_attention_iou_ge_0_5,0.8544498556998558,0.8106511090410098,0.8940163957182528,208,140,2000,True,
esm2_top4_bilstm_attn,test,seed_stable,1,hungarian_interval_iou,fraction_shifted_attention_iou_ge_0_5,0.8423198482932995,0.7880133317694895,0.8954151478967657,208,113,2000,True,
esm2_top4_bilstm_attn,test,mean_candidate,1,hungarian_interval_iou,fraction_shifted_attention_iou_ge_0_75,0.38826659451659445,0.3265583155133646,0.44945230078563403,208,140,2000,True,
esm2_top4_bilstm_attn,test,seed_stable,1,hungarian_interval_iou,fraction_shifted_attention_iou_ge_0_75,0.3866203118415508,0.31496671119622954,0.4620546877833388,208,113,2000,True,
esm2_top4_bilstm_attn,test,mean_candidate,1,hungarian_interval_iou,mean_matched_interval_iou,0.6750218549744166,0.6549991474336738,0.694408754255103,208,137,2000,True,
esm2_top4_bilstm_attn,test,seed_stable,1,hungarian_interval_iou,mean_matched_interval_iou,0.6680013133584561,0.6450658181862013,0.6921834066706778,208,111,2000,True,
esm2_top4_bilstm_attn,test,mean_candidate,1,hungarian_interval_iou,median_matched_interval_iou,0.6815102577876301,0.6610534545969328,0.7022489003917461,208,137,2000,True,
esm2_top4_bilstm_attn,test,seed_stable,1,hungarian_interval_iou,median_matched_interval_iou,0.6716780216780214,0.6482846076418463,0.696991999880434,208,111,2000,True,
esm2_top4_bilstm_attn,test,mean_candidate,1,hungarian_interval_iou,observed_only_bands,4.413461538461538,3.956730769230769,4.879927884615384,208,208,2000,True,
esm2_top4_bilstm_attn,test,seed_stable,1,hungarian_interval_iou,observed_only_bands,4.8125,4.3798076923076925,5.259615384615385,208,208,2000,True,
esm2_top4_bilstm_attn,test,mean_candidate,1,hungarian_interval_iou,shifted_attention_only_bands,0.11057692307692307,0.0625,0.16826923076923078,208,208,2000,True,
esm2_top4_bilstm_attn,test,seed_stable,1,hungarian_interval_iou,shifted_attention_only_bands,0.0625,0.028846153846153848,0.10096153846153846,208,208,2000,True,
esm3_frozen_bilstm_attn,test,mean_candidate,-1,hungarian_interval_iou,fraction_observed_iou_ge_0_25,0.6824665619747586,0.6378016443061988,0.7266782200386529,208,183,2000,True,
esm3_frozen_bilstm_attn,test,seed_stable,-1,hungarian_interval_iou,fraction_observed_iou_ge_0_25,0.4911087831921165,0.43803655556173726,0.542937993331736,208,180,2000,True,
esm3_frozen_bilstm_attn,test,mean_candidate,-1,hungarian_interval_iou,fraction_observed_iou_ge_0_5,0.5814282863463192,0.53172827767792,0.6291068671476282,208,183,2000,True,
esm3_frozen_bilstm_attn,test,seed_stable,-1,hungarian_interval_iou,fraction_observed_iou_ge_0_5,0.42317648400981733,0.37151369808287704,0.4759388263298351,208,180,2000,True,
esm3_frozen_bilstm_attn,test,mean_candidate,-1,hungarian_interval_iou,fraction_observed_iou_ge_0_75,0.2574969960215862,0.21257292391916632,0.3030954859163415,208,183,2000,True,
esm3_frozen_bilstm_attn,test,seed_stable,-1,hungarian_interval_iou,fraction_observed_iou_ge_0_75,0.1844239094239094,0.1474338001403084,0.22650800275866756,208,180,2000,True,
esm3_frozen_bilstm_attn,test,mean_candidate,-1,hungarian_interval_iou,fraction_shifted_attention_iou_ge_0_25,0.6646256594669293,0.6178197914627854,0.7109223680526565,208,189,2000,True,
esm3_frozen_bilstm_attn,test,seed_stable,-1,hungarian_interval_iou,fraction_shifted_attention_iou_ge_0_25,0.7311279461279461,0.6788761186251191,0.782657879838697,208,165,2000,True,
esm3_frozen_bilstm_attn,test,mean_candidate,-1,hungarian_interval_iou,fraction_shifted_attention_iou_ge_0_5,0.5666325003626591,0.5178524327375132,0.6151623325274335,208,189,2000,True,
esm3_frozen_bilstm_attn,test,seed_stable,-1,hungarian_interval_iou,fraction_shifted_attention_iou_ge_0_5,0.6343073593073593,0.5784529452212983,0.6909564562990205,208,165,2000,True,
esm3_frozen_bilstm_attn,test,mean_candidate,-1,hungarian_interval_iou,fraction_shifted_attention_iou_ge_0_75,0.2454560724401994,0.20571327600211914,0.29061717157111905,208,189,2000,True,
esm3_frozen_bilstm_attn,test,seed_stable,-1,hungarian_interval_iou,fraction_shifted_attention_iou_ge_0_75,0.2731265031265031,0.22406686282467525,0.32648934297990007,208,165,2000,True,
esm3_frozen_bilstm_attn,test,mean_candidate,-1,hungarian_interval_iou,mean_matched_interval_iou,0.6443888141832759,0.6228321492636688,0.6662462097091592,208,170,2000,True,
esm3_frozen_bilstm_attn,test,seed_stable,-1,hungarian_interval_iou,mean_matched_interval_iou,0.6455065968006869,0.6215858732994419,0.6715355762879409,208,148,2000,True,
esm3_frozen_bilstm_attn,test,mean_candidate,-1,hungarian_interval_iou,median_matched_interval_iou,0.6462488859835307,0.6236960938913684,0.6679671875494103,208,170,2000,True,
esm3_frozen_bilstm_attn,test,seed_stable,-1,hungarian_interval_iou,median_matched_interval_iou,0.6483836732231386,0.6237866155821762,0.6753325392005807,208,148,2000,True,
esm3_frozen_bilstm_attn,test,mean_candidate,-1,hungarian_interval_iou,observed_only_bands,1.2115384615384615,1.0144230769230769,1.4278846153846154,208,208,2000,True,
esm3_frozen_bilstm_attn,test,seed_stable,-1,hungarian_interval_iou,observed_only_bands,1.8605769230769231,1.5865384615384615,2.1586538461538463,208,208,2000,True,
esm3_frozen_bilstm_attn,test,mean_candidate,-1,hungarian_interval_iou,shifted_attention_only_bands,1.0625,0.9038461538461539,1.2355769230769231,208,208,2000,True,
esm3_frozen_bilstm_attn,test,seed_stable,-1,hungarian_interval_iou,shifted_attention_only_bands,0.5625,0.4423076923076923,0.6923076923076923,208,208,2000,True,
esm3_frozen_bilstm_attn,test,mean_candidate,1,hungarian_interval_iou,fraction_observed_iou_ge_0_25,0.2860106479671697,0.2533345263095645,0.3215898851415679,208,207,2000,True,
esm3_frozen_bilstm_attn,test,seed_stable,1,hungarian_interval_iou,fraction_observed_iou_ge_0_25,0.19996802819618353,0.1681218030989666,0.23266372997029397,208,206,2000,True,
esm3_frozen_bilstm_attn,test,mean_candidate,1,hungarian_interval_iou,fraction_observed_iou_ge_0_5,0.24829074575451385,0.21636257562887998,0.28163652319902327,208,207,2000,True,
esm3_frozen_bilstm_attn,test,seed_stable,1,hungarian_interval_iou,fraction_observed_iou_ge_0_5,0.17476212029610091,0.14563577501943725,0.2048459911585001,208,206,2000,True,
esm3_frozen_bilstm_attn,test,mean_candidate,1,hungarian_interval_iou,fraction_observed_iou_ge_0_75,0.11603237074251567,0.09401323146794156,0.14033237503125245,208,207,2000,True,
esm3_frozen_bilstm_attn,test,seed_stable,1,hungarian_interval_iou,fraction_observed_iou_ge_0_75,0.08032583382097945,0.061371516256062165,0.10141063575872691,208,206,2000,True,
esm3_frozen_bilstm_attn,test,mean_candidate,1,hungarian_interval_iou,fraction_shifted_attention_iou_ge_0_25,0.8255915863277825,0.7775951837758164,0.866964561287478,208,163,2000,True,
esm3_frozen_bilstm_attn,test,seed_stable,1,hungarian_interval_iou,fraction_shifted_attention_iou_ge_0_25,0.8775252525252525,0.828078036462183,0.9211439070826374,208,126,2000,True,
esm3_frozen_bilstm_attn,test,mean_candidate,1,hungarian_interval_iou,fraction_shifted_attention_iou_ge_0_5,0.7180251241600935,0.6622219076655053,0.7716568796429908,208,163,2000,True,
esm3_frozen_bilstm_attn,test,seed_stable,1,hungarian_interval_iou,fraction_shifted_attention_iou_ge_0_5,0.7729677729677731,0.7097278489854364,0.8325677160531949,208,126,2000,True,
esm3_frozen_bilstm_attn,test,mean_candidate,1,hungarian_interval_iou,fraction_shifted_attention_iou_ge_0_75,0.34546450482033303,0.2899610332134427,0.4022272028272796,208,163,2000,True,
